u,t,m
14,2025-01-03 16:38,Great job both Zachs!
825,2025-01-03 23:30,going to send a thank you note swag from !
825,2025-01-03 23:31,going to send a thank you note swag from !
825,2025-01-03 23:33,going to send a thank you note swag from !
825,2025-01-03 23:33,Going to send a thank you note swag from !
825,2025-01-03 23:36,going to send a thank you note swag from !
2210,2025-01-06 16:42,nice job !!
2312,2025-01-06 16:53,- thanks to Ty for helping this client wrap up late audit.
2,2025-01-06 18:00,Awesome work !!
876,2025-01-07 14:27,good work team
537,2025-01-07 21:22,great job !!
28,2025-01-07 21:23,great job !!!
825,2025-01-07 23:13,Going to send a thank you note swag from !
2,2025-01-07 23:37,Way to go team!!! keep it up!!!
1058,2025-01-08 13:53,FYI… looks like this is related request. Expense team will work tackle this morning <
847,2025-01-09 17:38,let's goo!!
2,2025-01-09 17:40,can we get a sync together on how to get this back on track - if you wouldnt mind reaching out to let the client to let them know we have heard the feedback and would love to discuss live with them?
52,2025-01-09 17:44,"Yep, will do!"
1428,2025-01-09 18:44,this was an interaction with support cc
882,2025-01-09 18:44,can any context here? reading through seems to be a LP support question
1417,2025-01-09 18:55,"Hmm - yeah I'm not seeing anything amiss? The interaction seems pretty straightforward and cordial, and I don't see any issues with how Welladel handled it (it was timely and done correctly, with no unnecessary back and forth)"
882,2025-01-09 18:56,"since this csat came from the GP, I think it makes sense to set up a time to connect cc"
2571,2025-01-09 18:56,I've been trying Deepen is not the best contact Vasu is our main POC
843,2025-01-09 20:26,Kudos to !! Thanks for everything you do to keep this client in great health
52,2025-01-09 20:36,Hi team - Just spoke to Joe at Seven Peaks. Put some time on the calendar at 430pm est to discuss.
52,2025-01-09 20:37,Overall Joe is a nice guy and wasnt too upset. His biggest concern is a current distribution that is on going. Still looking into it but the latest i am hearing is the treasury team is at capacity.
847,2025-01-09 21:40,"Agreed w/ Nick, great job Cathy!"
2155,2025-01-10 14:59,great team work well done!
2,2025-01-10 18:52,Cadence calls ftw! Nice work !!!
825,2025-01-10 19:35,Going to send a thank you note swag from !
825,2025-01-10 19:38,Going to send a thank you note & swag from ! CC: since this is a European client!
825,2025-01-10 19:40,Going to send a thank you note swag from !
1402,2025-01-10 19:53,Great work !! CC:
2312,2025-01-10 19:55,Kudos in making a happy client - woohoo cadence meetings! cc
1213,2025-01-10 19:55,thank you !!
866,2025-01-10 20:08,Great job team!!
2,2025-01-10 20:21,rough auto correct but we still count it! nice work Cody! keep up the great work!!!
871,2025-01-10 20:23,This might be one of the worst attempts at spelling it that I've seen haha. I guess that's what happens when you have too many unnecessary letters in your last name
1507,2025-01-13 13:50,can we please get back to him to understand his feedback which is strange considering that his request has been tackled.
411,2025-01-13 18:23,"Catching up on messages, but let’s chat through tomorrow"
2083,2025-01-13 18:31,Great work team!!
41,2025-01-13 18:35,Thanks team! CC:
495,2025-01-13 18:35,Let me know if I can help!
495,2025-01-13 18:37,Great job Cody Bouhheixnnheoabr!!!!!
3,2025-01-13 18:55,fyi - some great feedback for the Manila manco team!
411,2025-01-13 18:56,"Thanks , very much appreciated We will let you know once we figure out next steps."
1428,2025-01-14 14:54,Amazing job !!!
2,2025-01-14 14:55,incredible feedback!!!
847,2025-01-14 14:59,"This is awesome to see, way to go and !!"
837,2025-01-14 15:01,"Amazing effort all around, go team!"
994,2025-01-14 15:35,Amazing job team! Delivery was a huge driver in helping us win PITactyc + SPV Tax.
411,2025-01-14 16:22,Great job !
847,2025-01-14 18:41,"let's goo, nice work!!"
2,2025-01-15 13:59,way to go!!!!
825,2025-01-15 18:40,going to send a thank you note swag from !
825,2025-01-15 18:41,Going to send a thank you note swag from !
825,2025-01-15 18:42,going to send a thank you note swag from !
825,2025-01-15 18:44,going to send a thank you note swag from !
825,2025-01-15 18:50,Going to send a thank you note swag from !
825,2025-01-15 18:51,going to send a thank you note swag from !
12,2025-01-15 20:07,"Nice feedback on 1099. ,"
222,2025-01-15 21:09,just fyi !
41,2025-01-15 22:24,Keep up the great work team! CC:
14,2025-01-15 23:38,Lets go ! Great work!
40,2025-01-16 17:14,GO TEAM! Great job!!
28,2025-01-17 16:45,nice job !!! cc
847,2025-01-17 16:46,Great job Jing!!
415,2025-01-20 11:01,Any update on this? Happy to jump on a call with Alex and/or Paolo to smooth things over with them.
411,2025-01-20 12:00,"I reached out to Alex and have yet to receive a response to set up a call, but the team has also followed up separately and has had meetings since with no additional comments. I’ll continue to reach out, but it could be useful for you to reach out to Paolo separately for a follow up post your slush conversations and also bring this up then."
825,2025-01-21 01:18,This is a repeat happy feedback provider! We sent her some swag in Dec
825,2025-01-21 01:23,going to send a thank you note swag from !
882,2025-01-21 17:08,YAAAAYYYYYYY !!!! way to go cc
41,2025-01-22 00:52,Thank you team! Keep up the great work! CC:
33,2025-01-22 15:27,Nice work ! Way to make a great first impression with Trium's new CFO!
537,2025-01-22 15:27,good job Mario!
2,2025-01-22 15:35,great to see on a tough client! way to go
2,2025-01-22 15:36,can we sync up on what we can do to turn this around?
837,2025-01-22 15:37,Chatting with to gather more context. I have a call with Kyle to intro myself shortly and can try to obtain more intel as well
