u,t,m
605,2025-01-02 17:53,"Hey team, I'm working with an admin on case 02174632 from < (LLC company) who has a question related to their valuation report. On their most recent report (expired Dec 31, 2024) page 20 of the pdf shows ""Waterfall Breakpoints"" and they are saying that their new CFO wants the details of how this ties back to their Interest Ledger. Is this something I should transfer over to your team or can you provide any guidance on how I can answer this question for them? cc:"
247,2025-01-02 18:44,"Hi, I'm working with a PE backed company that just raised capital and finished an acquisition. The parent is an LLC (taxed as a C-Corp for QSBS) QSBS is not in play here as they have their attorney's doing that work. Looking to issue 2 RSAs or RSUs to CFO and board member. Trick here is that all capital must be paid back before equity participates. Revenue is $30M and $8M EDITDA. Looks and sounds like a one time LLC to Corp conversion for a cost basis or would this fall under LLC 409A on an annual basis? Customer looking to make a quick decision and is speaking to another 409A only provider. Not looking to buy cap table, but we set the expectations that they need to. Less than 10 on cap table. Who can jump on a call with and I today to qualify the next steps?"
247,2025-01-02 20:17,<!subteam^S20UW9CN6|@val-analysts> can anyone hep?
211,2025-01-02 20:19,or either of you able to help out?
232,2025-01-02 21:01,When is this call?
232,2025-01-02 21:02,"If the entity granting equity is an LLC, do they not need the LLC platform?"
247,2025-01-02 21:14,no they don't need LLC we believe. We just need to connect and walk through this Runar. Can I find a few today to connect?
277,2025-01-02 22:17,"Hi team - < Pharma> converted from LLC to c-corp as of 1/1/25. They are already in the standard corp version of Carta. All units are 1:1 with shares. The economics were mirrored in the C Corp. No changes, including the equity plan. They need a 409a, do they need to wait until the new c-corp account is onboarded to request a 409a or can they request it from the live LLC account? Thanks"
159,2025-01-03 14:40,Hi team! Where in Carta can I see when a Board Determined FMV was added by an admin?
159,2025-01-03 14:41,is there an audit trail for when FMVs were added?
369,2025-01-03 17:03,I believe the engineering team can view this info. or may be able to help.
159,2025-01-03 17:05,Trevor helped me thank you
230,2025-01-03 19:21,Our Business Enterprise Valuation is actually a different valuation than our 409A valuations (which conclude the FMV of common) It does look like they have this in their subscription - did they call in asking for one?
1101,2025-01-03 19:23,Thank you ! I had a call with them because they are moving from Launch to paid Carta and they said they would like to understand better how the Enterprise Valuation works.
230,2025-01-03 19:24,Thanks for the context- I'll take the case and reach out to them.
1094,2025-01-06 15:27,Hi ! Happy New Year! Do you have any updates on Enerview's valuation? The client converted to c-corp on 1/1/25 and wants to complete the onboarding as soon as possible in order to start granting options. Thank you! cc:
354,2025-01-06 15:32,Hey! I am working on this and I expect to have it delivered within the next two business days
929,2025-01-07 14:50,"Hey *<!subteam^S062UABG8NS|@val-fire-ujet>, the client just came back, can someone please look into this?*"
364,2025-01-07 15:54,- taking a look into this.
364,2025-01-07 16:00,"- If the client navigates to Compliance Tax clicks Manage valuations in top right corner there will be a 1; 2 they will need to select the # 2 to show that their submitted request is under review. With Cadstrom Inc., we are working on validating the form they had submitted on Sunday (01/05). Once verified, it will be assigned an analyst who will prepare the 409A Valuation Draft report. To be conservative, I would imagine the report to be delivered within 2-10 business days."
345,2025-01-07 17:42,"<!subteam^S062UABG8NS|@val-fire-ujet> I have a client that has a question on the ""valuation details"" section. Under FMV the last FMV came in at $0.15 but her CEO just purchased shares at $0.64. What FMV would she enter in?"
342,2025-01-07 17:47,"the “anticipated concluded value” question is there to assess if a company expects the new FMV to be lower/same/higher than the previous one. Remember, the 409a valuation is used to set strike price for stock options. Companies can use whatever stock price for purchasing common stocks so if the CEO paid $0.64 to purchase shares that’s totally fine & irrelevant to 409a unless our analyst determines the valuation analysis needs to fully rely on that transaction (& that’s something a valuation analyst needs to determine during the valuation analysis)."
342,2025-01-07 18:19,Thank you Humberto! Please feel free to send them the checklist below < support article> that takes them through the process of requesting a 409a via Carta
301,2025-01-07 18:53,Thank you so much Mami!
224,2025-01-07 20:11,"Hi Team! my assumption is no but just checking- I am now trying to work on another client project. Does Carta perform secondary market valuations for private companies? In other words, can I have Carta perform a valuation on a private company that a client of mine is looking to privately invest in? I can provide Carta with all the necessary financial information. Would this be a standard 409a or would with but a different type of valuation structure?"
209,2025-01-07 20:26,"Hi , I think you're correct. Is the company reaching out directly or is this someone else?"
224,2025-01-07 20:38,someone else on behalf of a client who is investing in said company
209,2025-01-07 20:44,we're going to have to pass on something like this.
224,2025-01-08 15:39,Hi Team- Do we do Fairness opinions?
225,2025-01-08 15:42,we do *not*
224,2025-01-08 16:00,clients last reply is as follows assuming this is still not the case for us- Just to clarify… the secondary market transaction wouldn’t be a 409a. Instead it would be a general corporate valuation. Is that something Carta completes for investors?
209,2025-01-08 16:37,"It sounds like they're looking for someone to help either justify or create a reasonable value for a corporation before they invest in them. we typically only engage with corporations to help with their own internal planning for fundraising not potential investors. with that said, we might have a referral parter or two that could be interested in taking on this type of work."
209,2025-01-08 16:38,"we do have referral partners who can take this on if the client would like. to set expectations, fairness opinions are much more involved than a 409A and the price for this type of engagement matches."
929,2025-01-08 19:32,"Hey team, I have two requests that I just got from two different clients: 1. for < Inc.,> , they would like to have the first 409A request removed, as it was entered with incorrect information. case #< 2. for < Aviation, Inc.,> client needs an ETA for the 409A report delivery. case #< TIA -- Update: , please see the case numbers updated above, I've reassigned them to you as requested. Thank you for the help!"
626,2025-01-08 19:46,"Hey team. A company admin asked something like this: ""Can we base our valuation on year-end 2024 financials through the end of Q1 2025 or even into May, and is there a standard timeframe or best practice for how long financials can remain valid before needing to be updated (e.g., if newer financials reflecting higher revenue become available before the valuation is finalized)?"" Can you please assist with the answer?"
338,2025-01-08 20:18,Hey Luan! If you have SF cases for these two firms you can assign them to me
209,2025-01-08 20:23,just connected with a partner of ours and they'd love an intro to the client to see if they can help can we send one?
224,2025-01-08 20:30,"They haven’t replied if they want an intro, I am cognizant of introing without their consent, let me follow up with them!"
929,2025-01-08 20:31,"Will do, thank you !"
209,2025-01-08 21:00,"Totally fair, thanks for the help!"
367,2025-01-08 22:25,"1. If the valuation date is 12/31/2024 we ideally want the financials as of 12/31/2024 or the end of month prior. If those aren't available then the latest we would want is end of the prior quarter. 2. In regards to the financials projections updating while the valuation is in progress, we want the projections know as of the valuation date. If the projections change during the valuation process we wouldn't want to use the updated numbers."
332,2025-01-08 22:48,Hi Team had a client reach out < saying that individuals with IRA custodians make annual requests for Fair Market Value (FMV) valuations and the form requires a member of Carta Valuations to sign off on the FMV. Is this something we sign? Should I have the person reaching out email it me what's proper procedure for this type of request?
349,2025-01-08 23:07,is there a salesforce case for this?
235,2025-01-09 14:57,"hi, team. What is the standard lead time for a 409a completion in Carta LLC? Want to make sure I’m giving this admin the right information. cc:"
225,2025-01-09 15:57,for an LLC it can be 3-5 days. how is backlog at the moment?
367,2025-01-09 16:26,I would probably quote more like 7 business days currently
235,2025-01-09 16:46,"thank you! , let’s quote that back to the admin"
349,2025-01-10 00:10,"Sorry this got lost in the shuffle yesterday. This would be outside of the scope of what we can support with the 409a, so we wouldn't be able to sign this form for them"
349,2025-01-10 00:14,Just did some more digging on this and looks like they'd need an 820 valuation to support that
345,2025-01-10 19:23,"Hi team. I have a client that is not seeing ""additional information"" or a place on to put they expect the FMV to be. Is there a reason for this?"
342,2025-01-10 19:25,If this is a custom LLC then their request form may be different from ones for C-corp. Another possibility is that they are in the Request Form Wizard (i.e. the beginning part of the request form)
342,2025-01-10 19:26,Companies that qualify for Pre-seed Benchmarking don’t need to fill out the main Request Form so no access to “Valuation details” step where both of these text fields are located
345,2025-01-10 19:27,Could you remind me... to know if they are in the request form wizard we can tell that by not seeing the sections on the left hand side?
342,2025-01-10 19:27,yes that’s correct!
345,2025-01-10 19:28,so once they hit submit here it will take them to the actual form?
342,2025-01-10 19:28,Yes that’s correct!
345,2025-01-10 19:28,thank you so much!!!
591,2025-01-10 19:29,"Hi team! For Carta LLC accounts, how exactly does the admin accept the draft valuation report so that they can get a copy that is not watermarked with 'draft'? Is it a button that is built into the platform? I'm not sure what the process is as of today and would like to confirm before writing back to a client. Thank you!"
345,2025-01-10 19:30,She is now saying she clicked that and it submitted the form. Is this because it's a preseed benchmark and she doesn't need to fill out the other form?
345,2025-01-10 19:30,sorry i know we went over this in training but can't quite remember the details of it.
342,2025-01-10 19:32,"No worries Stryder! You can check Valuation Station find the company’s request, then check under “Segmentation” column to confirm the company’s request is segmented to pre-seed benchmarking"
342,2025-01-10 19:33,"Hi Chris, it depends on whether this is an LLC on main Carta platform or a custom LLC. What’s the name of this LLC account?"
591,2025-01-10 19:35,"Ah yes, sorry I wasn't very clear. I was referring to any client that is on our Carta LLC platform. One example I have is < Fine Food>"
591,2025-01-10 19:35,"The valuation in their account is actually expired by now, but I'm still trying to understand if the client was supposed to go in and click 'accept' somewhere or how he should've received a final version of that valuation that is in there"
