u,t,m
570,2025-01-23 18:33,Hi Team ! I've updated the < Public API Page> and would like to get some eyes on the initial < Interest API - API Platform Design Proposal>. cc:
570,2025-01-23 18:34,There are some descriptions in the Resource design that need to be filled in for which I am going through the < Status Ledger> page to get more context on the fields that we are returning.
570,2025-01-24 14:58,Hi Team ! Structuring the response for custom fields in the Interest API response. cc:
570,2025-01-24 14:59,"llc-core supports Custom Fields that can be of different types < number, datetime, boolean>. For the existing InterestDetails API we return custom field as a < where customField is `record CustomField(String name, String value)` . For the Interest API (dev eco) we can use < but that comes with the the following Questions: 1. When we allow users to have custom fields of different types can we still keep this response format and assume that the user knows that the `value: string` is representing a Boolean, DateTime, Number ? 2. Response size: For the `List[CustomFields]` a. Do we have an any limits on the number of customFields that a user can add to their interest type ? b. Do we have an upper limit on the size of the string that customers input as the `value` ? The List Size and the Unbounded Strings within the CustomField object will affect the page size that we are able to return."
575,2025-01-24 15:11,1. Feels somewhat of a product ask if using the correct data types is required. Is there any inherent limitation in dev eco that _doesn't_ allow us to use the correct data types? 2. a. As far as I know there aren't any limits. Maybe lets do a quick query on metabase to see what the max number we have for any given interest type is. b. Also don't think there is a limit there. Custom fields are stored as JSONB in the DB which has a variable length
930,2025-01-24 15:25,"For 1., I want to make sure we're framing the conversation correctly. Right now it feels like we're talking about whether we can replicate the structure of current implementation from LLC Core in the API (which we can). I'm more interested in whether the current implementation - that allows for different value types to be stored in the BE, but that doesn't provide an interface to store anything other than a string in the FE - is actually what we want to ship. Are there concrete plans to expose the other value types to users in the FE? The existing implementation is from 2023 and this hasn't happened yet, so is it ever going to happen? Should it happen?"
930,2025-01-24 15:26,"For 2., should there be limits, both on the number of custom fields and the size of input for the string values?"
570,2025-01-24 15:56,(product) might be best suited to answer if there concrete plans to expose the other value types to users in the FE
570,2025-01-24 15:59,"2.a I ran < metabase query> and the greatest # of custom fields on an interest type is 12. 2.b Yeah, I also concluded that we don't impose any restrictions on the length of the value the user can input."
570,2025-01-24 16:55,Our domain model doesn't put restrictions on the number of custom fields because we want to allow the user to be able to store fields along with the interest similar to what they would do on an excel spreadsheet. might be able to weigh in more on the users use cases and if having an upper limit makes sense for our product.
