u,t,m
1632,2025-01-09 18:26,"Afternoon, starting work on the react upgrade Here are two PRs to upgrade webpack to 5.96.1 - so we can use Module Federation 2.0 • The Testbox in the carta-web PR works with remotes that publish using the lower webpack version, so don't need to be done at the same time < <"
504,2025-01-09 18:34,I think with webpack upgrade there was an issue with the `cartaWeb` federated bundle built in `carta-web`. You could check if ie `/certificates/list` `/options/list` loads fine cc
1632,2025-01-09 18:34,"we fixed it had to add uniqueName, I added a link to the warrants url"
1033,2025-01-09 19:14,Question: Does it make sense to run a full end-to-end test run to see if there are potentially any other views / experiences that might be broken with different federated bundle issues?
1632,2025-01-09 19:18,"No harm in doing so, all the federated cartaWeb apps were broken and unable to load prior to me adding the uniqueName fix"
1033,2025-01-09 19:35,I think it's pretty automated too -- you can run it from your test box and magni. I would run it before merging
1632,2025-01-09 19:49,"Taking a while I think, but this was it: < Link: <"
1632,2025-01-09 20:14,"Okay, I went through module federation docs, updated the RFC: < The high level solution section goes through the migration process now. I'll set up another meeting tomorrow, and then make a working group afterwards"
1632,2025-01-09 20:54,"Regression release tests ran fine on the webpack upgrade PR, the three broken tests, they don't lod federated apps, and they loaded their remote components fine"
1632,2025-01-13 15:31,"Hey, could I get one more review on this PR: <"
1632,2025-01-13 15:42,"Welcome everyone, Frontend Platform is currently on track to upgrade to React 17 this quarter. We wanted to make a small working group with Frontend Exports and QA teams across Carta to keep everyone in the know, and also receive feedback on the process • I've created this < I've specifically linked a quick high level overview of how we plan to upgrade, other sections go into more detail • We've already started the upgrade process, and likely as we get to steps of 4 onwards listed on the RFC linked above, and we start upgrading individual remote and host applications, will need help from everyone"
1632,2025-01-13 15:49,"It is likely we will be needing two versions of Ink, one for React 16 and one for React 17. As we move individual apps to React 17, they can use the new version. Still a few weeks from needling to do this, but mentioned that this is something we could do."
1031,2025-01-13 15:50,thanks for the heads up! Let's stay connected so we can make sure to have a R17 build available by the time you need it.
568,2025-01-13 15:51,"as excited as i am for Module Federation 2.0, i'm pretty worried about coupling 2 major upgrades at once what's the benefit that MF 2.0 brings to this task?"
1632,2025-01-13 15:51,"Sure, I'll set up a meeting once we have a proof of concept in Draft. We will likely need to do something similar for the app shell library."
568,2025-01-13 15:53,FWIW both < and < repos are currently on react-18 ink v33 without any reported problems
1031,2025-01-13 15:53,that's a welcome surprise!
1632,2025-01-13 15:54,"MF 2.0 allows us to upgrade remote* applications to React 17 one by one, < The remote components can have their own rendering tree. The MF built in webpack 5 doesn't have this functionality."
1632,2025-01-13 15:56,"Flipper UI mf enhanced: < carta-web mf enhanced: < (< We did already test it in draft, and it seems to work fine. We aim to do this first^ and then do a POC, with host on React 16, and a remote loading in with 17"
568,2025-01-13 15:58,"neither are complex apps, though. i'm sure something will come up"
568,2025-01-13 16:06,! was there an experiment with only CW bumping to react-17 but all remotes staying on react-16?
568,2025-01-13 16:09,otherwise pumped that we also get MF 2.0 as part of this migration better typescript interop with runtimes unlocks so many possibilities
1632,2025-01-13 16:25,"was there an experiment with only CW bumping to react-17 but all remotes staying on react-16? Haven't tried this, but in theory it should work."
568,2025-01-13 16:31,but i also like that with MF-bridge you get more granular control over when each app migrates
524,2025-01-13 17:13,"In addition to these two repos, we also need to update FA and LLC repos since they build FARS apps too"
524,2025-01-13 17:15,do either of these repos have pages in carta-web or are all these run as standalone ?
568,2025-01-13 17:34,"they run standalone, outside of carta-web"
1632,2025-01-13 17:38,"< <-- Fund Admin is here, LLC. currently doing it"
524,2025-01-13 17:42,Got it. Was hoping they also run successfully inside CW … that’s still good news though with regards to Ink’s compatibility (even if on a small surface)
1632,2025-01-13 19:54,Could you folks take a look at this webpack upgrade PR. Test box is linked with carta-web. don't see any issues.
1632,2025-01-13 20:16,Need one more review
522,2025-01-13 20:28,Looks like you merged it. Lmk if you still want me to look
522,2025-01-13 20:28,Thanks for doing this Ather!
1632,2025-01-15 20:54,"Here is the carta-web PR to update our webpack config to use Module Federation 2.0 < ^ There is links to testboxes in there, with links to pages with different remote apps • Running release regression suite < • looks backwards compatible with Webpack 5 MF"
1632,2025-01-15 20:55,Do you have page I could use to check that LLC is all good. I enabled the llc-core service in the namespace deploy
1632,2025-01-15 20:56,"Also, do you have page I could use to check compensation is fine. I enabled compensation frontend in the namespace deploy."
1073,2025-01-15 20:58,I would say to check if `/benchmarks/employee` works. It is the main entry point for the ctc app
568,2025-01-15 21:09,cc i think we need to create some demo LLC companies for you <
568,2025-01-15 21:13,these ones to start: < for scope `llcInvestmentFirm` < for scope `llc`
1632,2025-01-15 21:17,"Looks good we can load apps in both cases. Will keep this box around, as I start rolling this out to other repos"
568,2025-01-15 21:28,can you ping Greg before starting migration of the `llc-ui` repo? we have 5 apps to be migrated and i'm considering using this as an opportunity to move over to `dev-client-sdk` we're still using a fork of Eldar's original `build-tools` package and it's probably more painful than you signed up for: <
1632,2025-01-15 21:32,"Sure! yeah good call, I don't think we made many changes to dev client sdk and the interface should be the same so hopefully it's not bad"
568,2025-01-15 21:38,i forked it originally to replace `babel-loader` with `swc-loader` also configure terser to use the `swcMinify` plugin if that's too many moving pieces then just updating each app's `webpack.config.js` works for me
1632,2025-01-15 21:56,"I see. Just took a closer look, we have a default plugin setup for the webpack mf plugin that we have in the dev-client-sdk, and individual remote apps, just import it, and then add override settings, and then their webpack config gets run after the common webpack config which is defined in dev-client-sdk. You guys are doing your own steps in webpack, I think we should keep it separate for now I don't see the module federation plugin in your build-tools folder, it looks like you're setting them in your 5 apps. Honestly it's just easier to just replace the import of module federation with the one from enhanced. The interface is identical. That's what I did here and it appears to be working: < When we migrate LLC to react 17, we will do app by app, so we can just update each webpack.config.js individually.. We will have a POC soon for a remote app in React 17 loading into a React 16 host so I will have a clear example soon"
571,2025-01-15 22:39,"Awesome, thanks Ather! For planning purposes: what is the timeline you want for us to implement these migrations? For instance, will it block you if we don't upgrade to Module Federation 2 by the end of this week or next week?"
1632,2025-01-15 23:08,"It won't block me. How about by the end of next week? That's when I plan to have the react upgrade POC done and the upgrade of mf complete. I can also make the PRs, just would need help testing. It is loading fine with Carta web upgraded so there's no hurry. I just want to make sure it works fine and then we just have to worry about the react upgrade. Trying to get all this done by end of Feb."
1632,2025-01-16 21:49,"I reran the suite, this time with a loaded test box, and got similar errors, I don't think the errors are related to my changes, I linked both errors and the screenshots look fine, and visiting the pages, they worked as intended also linked to my existing webpack upgrade test run. Would appreciate stamps so I can release this monday"
524,2025-01-16 21:53,Thanks for triple checking Ather!
1632,2025-01-24 21:11,"Hey Folks, found an incompatibility with our existing Module Federation config, while trying to use Module Federation 2 to load remote modules. *The remote modules specified in the exposes option to the MF 2 plugin need to start with a ""./"".* What I've been doing is just duplicating entries so that I include an extra entry with this path Example: ```new ModuleFederationPlugin({ ..., exposes: { './App': './core/App', <---- duplicated entry, needed for MF 2 App: './core/App' <---- Compatibility with MF 1 } }),``` • This does not break MF1, it will still continue to load the existing entry • You do not have to change your call to ie. `<FARSComponent module=""App"" ... />`, MF2 is smart enough to know that App -> ./App • We will be updating carta-web and < and until all entries have ""./"" we will then update our < to use MF 2."
1632,2025-01-24 21:11,Could I get a hand in doing this for llc-ui. Still need to bump the MF version there.
568,2025-01-24 21:41,deferring to Greg on this
571,2025-01-24 21:42,I can open a PR for this today
1632,2025-01-24 21:54,"Fyi: • using the new MF plugin doesn't break MF1 at all (see: the changes to the webpack.config.js in< carta-web>) • I will updating all apps in carta-web and frontend platform monday next week • Mid next week, hope to turn on MF2 remote module loading"
571,2025-01-24 23:20,"Here's the exposes update, I haven't started on the MF update itself < Let me know if I missed anything or any other actions are needed here!"
1632,2025-01-27 14:45,looks fine Here is an example of how to update the Build Plugin to use MF 2.0 It was backwards compatible. <
571,2025-01-28 01:25,"PR < for upgrading module federation package. does the exact version matter? I picked the latest 0.8.9, should I use 0.8.8 to be consistent with FEP?"
571,2025-01-28 01:25,I tested locally with a test box and everything seemed fine
1632,2025-01-28 14:04,We should keep it consistent for now. They released 0.8.9 last week I believe. We have pinned 0.8.8 in fep. Host and remotes should be same
571,2025-01-28 18:29,Just updated and pushed 0.8.8!
571,2025-01-29 00:56,"Hey Ather the build step in our CI seems to be failing for the PR above, do you have any reccomendation for how to debug/fix? < The error seems pretty unhelpful, I'm not sure what's failing exactly."
