u,t,m
575,2025-02-13 16:13,Anyone have a steak au poivre recipe they like?
1214,2025-02-22 00:20,"I decided to get out of comfort zone and cook things I'm not used to. This week's experiment was _SAVILLVM_, an ancient version of cheesecake from Rome (recipe < from this very interesting channel about history of food!) My result was a darker cake than the one in the post (I believe the author used Barley, I used whole wheat). It's denser than modern cheesecakes and just mildly reminiscent of cheese (I also used ricotta). I liked it, it's a very simple recipe with simple ingredients and processes."
1083,2025-02-22 01:41,What was the consistency like? Was it very sweet?
1214,2025-02-24 17:23,"it was denser that a cheesecake, kind of like a bread (but moisty). Not very sweet - I used the amount of honey in the recipe and I still drizzled a bit more when serving because I like it sweeter."
420,2025-02-25 06:50,that OG finger drip into what 100 - 200 degree stove sauce? and twice
1215,2025-03-17 17:51,"Not quite cooking, but started roasting my own coffee beans after taste testing a friend's home roast. It's oddly satisfying and absolutely delicious!"
964,2025-03-17 20:33,Beef ribs on the weekend. Worth every $1.
1216,2025-03-17 21:15,I’ve done this before with an air popper! Hard to get the beans consistently roasted but made everything smell really good anyways
895,2025-03-18 23:15,"Everyone, I present to you Spaghetti alla Carbonara!"
214,2025-03-19 00:34,Yummm did you do something fun w/ the drippings?
964,2025-03-19 14:11,unfortunately no..
299,2025-03-19 20:50,"COME ON, MAN"
93,2025-03-19 23:31,incredible
1069,2025-04-10 19:43,How did I not know about this channel until today?!
575,2025-05-12 13:55,Making good use of my local fishmonger this summer! Mussel pasta and fresh oysters
964,2025-05-12 14:00,Looks delicious and refreshing. Do you have a link to the recipe?
