u,t,m
92,2025-01-02 17:10,- can we ask them to confirm that the securities are no longer outstanding?
92,2025-01-02 17:11,have they provided additional information on why they want to keep access in order to do?
987,2025-01-02 17:17,"Right now there are still securities outstanding. When asked why they need to keep their account in Carta, they said their Legal Team had said they had to and provided the document"
1216,2025-01-02 18:00,"It was not in error, they used to be a GBR entity and now they have switched over to a US entity. I was under the impression that they should be off-boarded and re-onboarded but just wanted to double check. Their go live date was - 9/29/2022 They did have an onboarding manager while they were onboarding as well."
92,2025-01-02 18:02,"Ok got it - in that case, a reonboarding is required given that we will be acting as the transfer agent for the new US entity"
92,2025-01-02 18:09,"- Carta does not provide registered agent services, and they would need to engage a separate provider for those services."
1216,2025-01-02 18:25,"Perfect, thank you!"
92,2025-01-02 18:27,- is this something you can assist with? cc:
305,2025-01-02 18:37,"Hi Team, I've now heard from PWC regarding the audit. Also attached is a confirmation from the admin that they are authorized to request information for a financial audit. From PWC: In connection with our audit of the financial statements of Charge Parent LLC, PricewaterhouseCoopers (PwC) has been authorised by Mary Loomas to confirm information related to interactions with Charge Parent LLC using our secure, proprietary, web-based confirmation application, “PwC Confirmations”. Please refer to the authorisation letter attached to this email. If you are the appropriate (authorised and knowledgeable) individual to respond to this request on behalf of your organisation, please click the Respond button below or copy and paste the link into your browser. You will be prompted to generate a secure code to complete the login process. Use of this portal ensures a faster, environmentally friendly, and secure way to a confirmation request. < < If you have any questions or concerns about this request, including if you do not believe you are the appropriate recipient, you may contact Gulnoza Zaydullayeva at <mailto:gulnoza.z.zaydullayeva@pwc.com|gulnoza.z.zaydullayeva@pwc.com>. Very truly yours, PwC Engagement Team"
92,2025-01-02 19:28,"- they are on the LLC platform? We can't give a new admin access, but we can help with getting them offboarded."
625,2025-01-02 19:53,"Hi, ! By any chance, do you have availability to join the call with this client some time tomorrow?"
224,2025-01-02 19:56,THey are a core account not LLC so they cant use the offbaording link
92,2025-01-02 20:09,Yes I can join
92,2025-01-02 20:10,OK - we need to have them fill out this < and then once you have it signed you can post using the workflow in <
1442,2025-01-02 20:11,"Hi Chris! I can jump in and assist with what I know, but would appreciate if could confirm that all that I write here can be shared with the customer or if at some point we should say it's up to the legal team to assess, as well as complete with what I don't know: 1. This was a typo on an earlier version of the plan. Correct reference should be rule 4. 2. I'm not sure how to respond to this one. We do have a definition of “Liquidity Event” and the purpose is to give the board the discretion to allow for exercise in those cases (attached screenshots show the definition of the term and also that it's up to the board to determine if there will be an exercise event associated with a liquidity event). I would say it does not give discretion to the holders, as they would only be able to exercise if the board specifically authorises them to do so. Not sure though if we want to convince this Law firm that this is the right way to go, maybe we should tell them they can just edit the document to whatever they think works best. 3. Also not sure how to respond - as far as I know our customers use the templated notice to grant options and it's what we upload as an option agreement, as it has all of the terms. I am attaching it in case you want to take a look."
