u,t,m
794,2025-01-04 02:58,"*ERP Core: FPI - Money Movement Banking* (Week of 12/23 - 12/30) *Metrics*: • < of VC firms (285 of 1,965 firms) has been enabled with Automated Money Movement (AMM) ◦ < of the VC firms we have enabled for AMM (145 firms) have utilized the solution, while 49% (140 firms) have not yet, primarily because they handle their own money movement • < of expenses (351 of 1,732 workflow expenses) were processed through AMM this week • < of management fee transfers (58 of 368 workflow transactions) were processed through AMM this week. *What was released / decided / completed this week?* • Enabled AMM for 7 firms since the last update, including top clients with a high volume of expenses: *Elsewhere Partners and Resolute Ventures* • Completed the SWIFT enhancement to enable wire account migration from the FA database to the Payments database, enhancing scalability for Capital Call Automation • Added a configuration to enable Distribution Automation on Carta Web • Initiated the spike document for Distribution Automation UX/UI enhancements based on the < presented during the Product Review> session *What are your goals to accomplish by the end of next week?* • Complete the spike document for the Distribution Automation UX/UI enhancement and cash reconciliation • Review the AMM rollout plan with the AD team leads and execute the plan accordingly • Publish the < for Capital Call Automation> to Carta Support • Upload the data of ~4,000 wire accounts (Batch 1) from FA DB to Payments DB *What artifacts (SWW, strategy docs, product reqs) are you drafting?* • < 2025 Roadmaps for FA> • < automation design> • < wire account component replacement with the UP UI component>"
1637,2025-01-10 21:17,"Weekly update for Permissions , Combined PCAPs and Mobile *Metrics* • New year, new me(tric): we'll be reporting on adoption at a firm level for Carta Carry as a reflection of Carry's core benefit being as a complement to desktop (< on that here>) • With that said, # of firms last week who used Carry: < *What was released / decided / completed last week?* • *Decided* ◦ Combined PCAPs will be turned on for Foresite, only once historical docs for their LPs have been uploaded to the platform ◦ < plan of the UX updates> will consist of three cohorts instead of five, in order to cut down on states where different experiences are present for different customers • *Completed* ◦ < repositioning proposal for Carry>, and testing for Company Investments v2 (sorting and filtering functionality) ◦ < testing session> and validation that new permissions for Combined PCAPs are working as intended *What are your goals to accomplish by the end of next week?* • Present updated positioning and release new version of Carta Carry • Complete testing for combined PCAPs and prepare it for launch • Design review and initial testing of < permissions UX,> as well as training docs for new UX"
1024,2025-01-10 21:19,*Documents - 1/10* *Metrics* • Missing Docs - < • Doc Funnel - < • Screenshot attached *What was released / decided / completed this week?* • Solved use cases of adding a missing an attribute and being able to designate a subscription agreement as either a partner doc or as an investment doc. These fixes will allow us to unblock about ⅓ of documents that have been identified as Subscription Agreements by ML but couldn’t be fully verified by contractors. • Got team alignment on how to handle the use case of there being one PDF with multiple documents associated with it. - < • Created new Doc Type of “Audit Confirmation” to allow for CCL confirmations to appear in Supplemental section of audit portal • Fixed a bug where Investment Documents were appearing for incorrect year in audit portal *What are your goals to accomplish by the end of next week?* • Releasing workflow for missing investment docs for 2024 audit season. This will be done for standard segment using the same workflow as last year with some minor improvements. • Finish automating the movement of a verified document to the partners page. • Start work on Multiple Document type
1275,2025-01-10 21:46,"Fund Tax week of 1.6 Metrics • Tax season is upon us! Join for a comprehensive view of product and delivery metrics. • Provided guidance to DS on extracting data completeness and return progress metrics, unblocking their metrics implementation work. Releases / Decisions / Key Completions Last Week • *Tax Dashboard (Pizza Tracker)* ◦ *We held a 2nd testing party, identifying < bugs>. Fixes in progress with a goal to resolve most of these by the end of next week.* ◦ Decision made to have Tax delivery progress with first batch of draft returns using existing product (tested and verified). We will continue development of the dashboard and ship v2 on Feb 3rd. The project is still on track. • *< Year-End Prep>*: Team is still working through a small number of API errors affecting syncing of returns. We have a path to closing these out and are not blocking returns from being completed in the interim. Goals for Next Week • Finish working through outstanding Onesource sync errors and complete final testing of extension filing flow. • Kicking off v2 development for Pizza Tracker, starting with year-end finalization of financials and underlying investment K-1s."
945,2025-01-10 22:23,This is really great progress <!subteam^S05NZL6L9T5|@fa-tax-rd> Great job on working through the API kerfuffle
1172,2025-01-10 23:08,"*C-World/GPX* *Metrics*: 69% of workflows resolved within 2.5 hours MTD (< *What was released / decided / completed this week?* • Decided: ◦ Objectives: We will not introduce a new data object = objective. Instead, we will use the existing object and tie associated workflows to that ◦ C-World categories: We will bundle any taxonomy changes into 4-6 updates per year • Completed: ◦ Foresite auditor permissions fix passed latest round of business testing. Coordinated with PMM for future release ◦ Project kickoff for where we plan to make proactive and reactive updates to stop churned tasks. Proactive: Adjust workflow logic so that tasks do not emit if churned criteria is met. Reactive: Run a recurring script to check if a churned entity task has been created and cancel it *What are your goals to accomplish by the end of next week?* • Foresite Auditor permissions: See if we can put fix behind a feature flag so we can release in cohorts with Foresite as the first cohort • Objectives: Review MVP proposal with DO Leads *What artifacts (SWW, strategy docs, product reqs) are you drafting* • < Dashboard excluded entities logic> - Discovered new business requirements across FA and Tax teams"
30,2025-01-10 23:09,"*Formations, Closings, LP Experience (and more!) Team Update* (Week of 1/6) *Metrics*: • Formations: < of Entities Formed> | Closings: < fundraises facilitated fully through Closings> | LP Experience: < of document accessed in 7 days> *What was released / decided / completed in the last week?* • *Released* ◦ Resolved 10 on-call tickets; (15 created; 5 in backlog*;* < ▪︎ We started the year off with ISD tickets; this week's main influx of tickets came from < >as they begin another fundraise using Closings ▪︎ Fixed a filename length issue preventing Windows users from downloading documents ◦ < submission to Tax1099> (shoutout !) • *Decided:* ◦ _Many_ decisions that raise the bar on product quality metric tracking for our upcoming Closings releases ◦ Initial FoF development focus will be to build ""Flowthrough:"" an automatic valuation update workflow when the underlying fund investment on Carta issues a PCAP statement • *Completed:* ◦ 1st round of QA for < Tracking Facilitating Offline Closes> [we'll present at RD review on Jan 16 ahead of these releases] ◦ < design exploration> into fixing the ""back up"" email confusion by replacing it with a more common accurate ""Account Recovery"" pattern (shoutout !) *What are your goals to accomplish by the end of next week?* • GTM enablement plan for Closings releases with • Complete QA for Closings releases • Write SWW for FoF Flowthrough to start scoping *What artifacts (SWW, strategy docs, product reqs) are you drafting?* • < 2025 Roadmap> | < 2025 Roadmap Pre-read> • < Building for FoF> • Closings Product ◦ [End of Jan Release] < Tracking Facilitating Offline Closes> ◦ [Mid-Feb Release] < Closings>"
945,2025-01-10 23:12,would love updates on Sagewind's closings and if this time the experience is better
30,2025-01-10 23:36,"the quick tl'dr on Sagewind is it's not a better experience _*yet.*_ More details below: *Product Improvements Needed* to make this a better experience for Sagewind, other similar GPs, and large LPs: • The main gap we haven't solved yet in Closings is ""*Multiplayer*"" (aka the ability for _*multiple*_ people with different permissions access to complete workflow tasks on behalf of the LP in Closings). • Currently, Closings really only supports 1 LP user (the primary contact) for all of the Closings workflows. For example, GPs often want to send dataroom invites to multiple contacts for an LP investor, but this is not possible today. *Bugs:* • Our implementations team ( team) has been more proactive in testing the behaviors we saw with Sagewind the first time to make sure we have the appropriate workaround this time. This is primarily around portfolio merges and LP contact management due to the ""hack"" Sam did previously to fill out subdocs on behalf of LPs. • New Closings dataroom issues came up that we're addressing"
848,2025-01-10 23:40,"*ERP Core:* *FPI - KYC Risk* (Week of 1/6) *Metrics:* • < FA Funds KYC Evaluations (+143 this week) • < days on average for delivering KYC due diligence reports (-1 day on average this week) • < firms fully KYC’d (missing last weeks metric) • < firms with KYC-as-a-service product (missing last weeks metric) *What was released/ decided/ completed this week?* • Released: ◦ KYC reassign task functionality ◦ CTA due date banner hidden • Decided: ◦ Risk score calculator logic for US and EU compliance teams ◦ Unified KYC Form plan for integrating into Closings • Completed: ◦ < score US and EU calculators> ◦ Compliance staff tool jurisdiction bug fix ◦ Compliance staff tool evaluation status logic bug fix ◦ Compliance staff tool KYC evaluation modal ◦ Unified KYC individual US form ◦ Unified KYC Corporation/Limited Partnership/ Publicly Traded entity US form *What are your goals to accomplish by the end of next week?* • APAC risk score calculator logic • FATCA and CRS information mapping • FATCA and CRS .xml mock • Unified KYC Trusts US form • Release next iteration of KYC compliance staff tool *What artifacts (SWW, strategy docs, product reqs) are you drafting?* • < Score product requirements> • < KYC Closings Product> • < KYC Strategy>"
