u,t,m
399,2025-01-07 22:05,Hey! Will Tactyc have integration capabilities by any chance?
928,2025-01-07 22:11,do you mean an API of Tactyc data out to another system?
399,2025-01-07 22:22,"In regards to my question: Yes, Tactyc data to another system. *Context*: Vijay, a Partner from MHS Capital, is a PI client and was asking if PI will have an API capability to share collected data on a regular basis. I know we don't on PI but wasn't sure on Tactyc's roadmap; If we have something planned on the horizon for Tactyc I was thinking of mentioning that to MHS Capital."
928,2025-01-07 22:23,We can share Carta and paper cap tables via api today for PI. will know answer on Tactyc api
811,2025-01-08 04:41,This is actually already available on Tactyc. We have an API endpoint that is available on our external API to export data from Tactyc into other systems
89,2025-01-16 17:03,"Hi team, got < ticket> that should probably be routed to this team. Could you take a look? cc:"
114,2025-01-16 17:21,Hi can you please confirm the customer who shared this?
89,2025-01-16 17:29,they're Gunderson customers. The PKs are several and they're in the ticket.
114,2025-01-16 17:31,"Got it sorry I meant to ask about the partner, I see it's Gunderson. We will look into this. Do you mind please looping me and <mailto:api-support@carta.com|api-support@carta.com> into the customer thread?"
89,2025-01-16 17:36,can you take care of this?
929,2025-01-16 17:42,"Sure, I'll keep and <mailto:api-support@carta.com|api-support@carta.com> on the loop. At this point Gunderson is waiting for an update on our end. Please let me know if there's any updates that I can share with them!"
930,2025-01-16 17:58,Give me a few minutes and I will look into this
114,2025-01-16 18:13,for our board <
930,2025-01-16 18:17,"Results so far: • I am *unable to reproduce* the HTTP `401 Unauthorized` errors for the specified Issuer IDs (i.e., corp PKs) that they listed: `3439222`, `3440569`, `3440835`, `3441766` - ◦ I get `200 OK` responses when making the requests they mention with Gunderson's own OAuth app • I am *able to reproduce* the HTTP `403 Forbidden` errors for the Issuer IDs they mentioned: `43608`, `47247`, `51809`, `55368` ◦ I also tried to do Get Issuer requests for these Issuer IDs, which I expected to fail, but they all succeeded; need to investigate this more"
930,2025-01-16 18:18,", give me a few more minutes and hopefully we can send a single message for both issues."
929,2025-01-17 16:04,Hey thanks for your help! Did you found anything else on this ticket?
930,2025-01-17 16:04,Apologies for taking far longer than a few more minutes
930,2025-01-17 16:28,"The issuers that they are getting 403s for are all archived (i.e., deleted) companies. We think what is happening is that our endpoint to list all of the issuers that Gunderson can access is erroneously returning these archived companies, and then Gunderson takes each company they get from that endpoint and tries to retrieve all data for each one. When they try to retrieve more data for the archived companies, our endpoints are giving back 403s. So, there are two problems here: • `List Issuers`/`Get Issuer` endpoints returning archived companies they shouldn't be returning • Other endpoints related to issuers returning HTTP `403 Forbidden` errors for archived companies when we should be returning HTTP `404 Not Found` errors In terms of communications with Gunderson, I think we should send them a message that says something like the following, and then make sure and <mailto:api-support@carta.com|api-support@carta.com> are CC'ed so we can follow-up with more details, if needed: We apologize for the issues you have encountered interacting with Carta API Platform. We have investigated your report and found the following. We are unable to reproduce the HTTP `401 Unauthorized` errors you mentioned when making the requests outlined for the issuers you identified. The Gunderson Carta app has access to the identified issuers and is able to access the data at all of the endpoints outlined. The HTTP `403 Forbidden` errors are related to an issue we have identified with our |List Issuers and |Get Issuer endpoints. We are returning issuers erroneously after they have been archived on the Carta platform, and when you use try to access additional information about these issuers, you are receiving HTTP `403 Forbidden` errors. We will be making changes to the List Issuers and Get Issuer endpoints to filter out archived issuers from the results, and we will be adjusting our error responses from the other Issuer API endpoints to return HTTP `404 Not Found` status codes when an issuer has been archived."
114,2025-01-23 20:10,Tiger Global Investor API 401s
114,2025-01-23 20:13,"Hi re-raising and moving this discussion to public thread. More than 50% of the Investor API Cap Table requests from Tiger are erroring out because the firm has no way of knowing whether they have the right portco cap table permissions, and they continue making a high volume of calls resulting in errors. Until we solve this with a new API field, is there a way to provide Tiger with a report of all their portcos and corresponding access levels?"
931,2025-01-23 21:35,"Hey team, sorry I'm late to the discussion. As part of the Tactyc cap table integration build, built out a < gRPC endpoint> which returns cap table access for all corps from a fund perspective. There could be opportunity to externalize that for now It wasn't added to the investments api to avoid making it slow / adding any complexity to that end"
114,2025-01-24 02:12,is that something we could consider adding to list investments? Curious what the expected latency would be
930,2025-01-24 02:26,"Ya, can investigate that. We could also consider surfacing it directly as its own ending, but that feels like more work for the consumer to consume. I wonder what it would take to add a filter to that endpoint where we give it a list of portco IDs to get a more specific response. Otherwise, we'll need to page through the results to match to the portcos we're returning in our paged response"
932,2025-01-24 15:38,Tiger should know how to get the report they need -- they are one of our top users of that report
932,2025-01-24 15:39,It's available via Tools + Services Cap Table Access Export
932,2025-01-24 15:39,"Assuming they can map that to their API calls, that is"
114,2025-01-24 15:40,I think they should be able to? At least by mapping names although it might not be 100% accurate
930,2025-01-24 15:40,", can you pull that report for Tiger and then can we take a look at the API requests they are making just to confirm that they are getting permission denied errors due to cap table access restrictions? , how are portcos identified in the report? Corp name and PK?"
932,2025-01-24 15:41,"I'm going to just run it and share, 1 sec"
932,2025-01-24 15:42,It just has name... I wonder if I can get something from metabase and map PK. Is the Issuer ID the same as PK? or what identifier is ideal to match?
114,2025-01-24 15:46,We don't expose PK in the API so not sure it'd even help. We share a different UUID
114,2025-01-24 15:47,but we do expose legal name so they'd use that
932,2025-01-24 15:47,Can we expose that UUID internally?
930,2025-01-24 15:49,"The UUID is fine to expose wherever we need it. There is nothing technically preventing us from doing that. What are you thinking, ?"
932,2025-01-24 16:37,"I am thinking this problem of trying to match internal vs external companies has come up so many times, maybe we give customers an internal report (we can just tack it onto the access report for now) mapping UUID, legal name, _maybe_ PK (I don't know about appetite to export the PK internally, I know it's a 'no' for external API)"
503,2025-01-24 17:26,", joining late to this discussion. Are these 180 companies with ""Restricted"" access grant, Carta companies?"
273,2025-01-29 16:02,"Hello team, an admin sent in the following questions and I was hopping you could guide me to an answer please? ""Our security team is trying to automate the review of our company users. Is it possible to pull a list of admin users of the platform programmatically (through the API) for compliance reasons? We typically do a quarterly review of users for compliance reasons and they'd like to automate this process, possibly using something called ""Anecdotes."""""
933,2025-01-29 16:06,Interesting. I see < guessing thats it?
933,2025-01-29 16:07,"We don’t have a users list endpoint in the public API today, but that’s a good use case cc"
114,2025-01-29 16:10,"Thanks for sharing like Chet said, we don't support this currently but can note it in the backlog, if there's similar requests from other customers over time, we can consider prioritization down the line"
273,2025-01-29 16:11,Great! Thank you both!!
930,2025-01-29 16:33,"We do have a `List Points of Contact` endpoint (< here>) that lists the various points of contact for an Issuer (i.e., cap table company). This returns the information from `Company settings - Users and permissions - Company contacts` (see first screenshot, or < here>). This doesn't include information from `Company settings - Users and permissions - Company` (see second screenshot, or < here>). An endpoint to return the full list of users that have access to a company's cap table would need to be added to our backlog, as Annette mentioned."
102,2025-01-30 02:21,this should be unnecessary with SSO right? Then customer can audit on their side.
101,2025-01-30 16:25,"yes, if they had SSO then they could do this user audit in their IdP (e.g. Okta) and might not need the data via external API SSO for corporations hasn't been built yet, but is tentatively in the IAM roadmap for Q2"
930,2025-01-30 16:29,"How would SSO work for users external to the company, like auditors?"
101,2025-01-30 16:41,good point. the IdP might not capture auditors talking to now
101,2025-01-30 16:42,"do all audits include the auditor getting added as a company user? or do some audits happen only using reports the company provides? said another way, are auditors definitely in-scope for the request of getting company users?"
930,2025-01-30 16:46,"I think the ask is nebulous enough that we would need to do some discovery. I don't know how SSO integration works for companies, so I can't talk about it in detail. However, I do imagine there would be situations where a company with SSO-enabled might want to grant access to their cap table to someone not at their company with a record in their identity provider. Other things to consider: attaching a law firm will grant a bunch of law firm users access to the company's cap table. Does this customer need an audit of those users as well?"
102,2025-01-30 20:06,We're basically describing contractors vs employees. This seems like a solved problem. I think 1 approach is just to issue contractors company emails and ask them to use those to sign into SSO. (I think we do this?)
102,2025-01-30 20:08,"I don't even think auditors need to go into the IdP. The modern way is for compliance platforms like Vanta to automate the checking, and auditors look at evidence in Vanta."
