u,t,m
845,2025-02-18 18:48,"hey team - spinning up this working group channel as a followup from our meeting on Friday to review the pulse check to surface mismatches in bank data / bank feed / GL. Current pulse check can be found here: < Next steps from our call: • to complete an initial scan through the list to see what might be themes for data issues we can address centrally • to share a spreadsheet of failed checks that we want Delivery team to review, diagnose and fix • ’s teams to provide any feedback for us to consider as part of this pulsecheck as they look at exceptions • Open question: who is best placed to resolve GL data issues that are surfaced here Once we have enough data and feedback to decide to go live broadly with this, this will also end up modifying the need for the current Bank Statement upload task to spin up for connected bank accounts."
29,2025-02-19 17:45,"Thank you ! So to confirm, we are currently waiting on an excel sheet from to dive deeper into? A couple follow ups: • (If we're not waiting for excel) which of the categories on the report are best to look at? (Failure rate/count or Exception rate/count) • I believe ( to confirm/deny) Cash Rec would look at GL discrepancies and Bank Admin will look at institution vs Carta feed discrepancies • follow up from the meeting but if you could possibly surface: ◦ API / DC / Plaid ▪︎ Daily Refresh Pulls - what time a day and how frequently ▪︎ Initial Onboarding Sync - how far back does data pull ▪︎ On demand refresh - type of data this pulls • Future state: Could these pulse checks be surfaced as tasks? Ideally we could see these surfaced as a task that we can then pull into our report • These would be separate from connection failures or have a way to note if their is a broken connection as this is already a task that our team would work cc"
14,2025-02-19 18:13,I also want to see the actual balance at the bank on the bank feed not just as a task as a visual representation that the account is current and discrepancies could then be surfaced as tasks for resolution
3,2025-02-25 15:36,"hey - is there a way to download the pulse checks to a tabular format (excel/google sheet)? when I currently hit export, it's just a blank page, but the tabular download would be beneficial to be able to compare, etc. cc"
549,2025-02-25 16:31,"yep, let me pull the latest data"
549,2025-02-25 16:37,cc pulled the latest data we have here: <
3,2025-02-25 17:20,thanks ! - I put together this on a < sheet>- would you help clear some of the items as you have capacity this week? Do you think we should share w/ other folks in the braintrust meeting as well?
6,2025-02-25 17:36,"Can you confirm where the GL balance is coming from? I am taking a look at Zenda One, LP and I see $236,561 as the balance on the TB for this bank account but the spreadsheet says $216,561"
549,2025-02-25 17:37,hmm that should be the sum of all cash journals involving the affected bank account. ~Can you share a link so I can look more closely?~ let me know if you want to look together
549,2025-02-25 17:38,nvm; I see it’s the one ending in 7737
6,2025-02-25 17:38,It also ties as of 2/21 which is what date the spreadsheet flags the mismatch
549,2025-02-25 17:40,"oh, yes, so the balance isn’t checked on the current date; it’s checked as of the provided date, so that could be the difference"
549,2025-02-25 17:40,but looking closer
6,2025-02-25 17:42,Here's the TB view on 2/21
549,2025-02-25 17:45,gotcha. yeah it does seem like we’re off somewhere. trying to pinpoint it
549,2025-02-25 17:46,I think there’s a journal that isn’t posted for $20000.00
549,2025-02-25 17:48,do we want to exclude unposted journals from this check?
3,2025-02-25 17:58,"hey - I think its something wonkier that's happening- in the 6 that I've looked at, there are txns on the ""Journals"" tab that say ""Unposted"", but they're actually posted, so I've been clearing them by deleting them from the ""journals"" tab, which removed the ""unposted"" one, and leaves the posted, but overall, the larger question is why are some posted txns also coming through as unposted. looks like its happening for some that are auto rec'd and some that are manually rec'd"
549,2025-02-25 17:59,"oh interesting… so this very well could be pointing out a real issue, which is good"
549,2025-02-25 18:00,I’ll start a thread with FOPs about this issue and assess the severity. We may want to escalate it to our on-call
3,2025-02-25 18:01,"thanks - I left < capital>- it has the same issue, but I didn't delete the ""unposted"" txn so folks can see what's happening"
549,2025-02-25 18:05,I just started a thread with BREW about this. looks like it might be related to mgmt fees
3,2025-02-25 18:06,maybe? most the txns I've been seeing aren't mgmt fee txns tho
549,2025-02-25 18:10,"hmm, so that particular journal for Reef looks like it was manually created by `<mailto:joana.velasco@carta-external.com|joana.velasco@carta-external.com>`"
3,2025-02-25 18:10,"yeah, but why can it be both posted and unposted?"
549,2025-02-25 18:11,where is it showing up as posted?
3,2025-02-25 18:12,"on the TB - if you delete the ""unposted"" one, the one that's posted already to the TB remains and it would clear the dfference"
3,2025-02-25 18:13,I'd imagine both go back to the same bank ID tho
549,2025-02-25 18:13,yeah I think so
3,2025-02-25 18:14,"there was an issue similar to this back in december, I don't know if the solve would be the same? ?"
549,2025-02-25 18:15,yeah what I’m unsure about is if this is a dup journal or if there’s some bug in the TB that is pulling in unposted journals when it shouldn’t
549,2025-02-25 18:15,trying to get some clarity on that
2047,2025-02-25 18:32,"I think we might run into some issues with sweep transactions, there is a delay from when the cash leaves the checking and hits the sweep account causing a temp unbalance - I ran into this issue at quarter end primarily with FRB/JPM accounts - < VC> always had this issue and it's on the spreadsheet with the same."
549,2025-02-25 18:38,interesting. do you know how long those take to settle typically? the current checks are delayed by 3 days to try to offset any delay between the bank feed and institution
2047,2025-02-25 18:45,"It would definitely clear in 3 days, I wonder if this error was due to the 3 day clock starting on the weekend?"
549,2025-02-25 19:05,ah that could be yeah
549,2025-02-25 19:05,do you have a specific account you’re looking at?
2047,2025-02-25 19:19,"< VC>, the problem might be the svb sweep having the same acct number, the difference we have on the spreadsheet is the overnight sweep + Account balance of SVB 4684."
2047,2025-02-25 19:20,Both are correct on the trial balance but its giving us an error.
549,2025-02-25 19:20,"ah, it very well could be if the account is shared we’re accidentally counting it twice in this check. I’ll confirm that"
549,2025-02-25 19:25,"so I think it’s the same problem found: there are multiple unposted journals involving that account There are two for `-$3,026,280.89` and another for `$2,665,372.53` which is exactly the difference"
29,2025-02-26 00:13,Hey apologies to ping but do we know where this data might live? We're hoping this will better inform how we look at the data you are surfacing. > • API / DC / Plaid > ◦ Daily Refresh Pulls - what time a day and how frequently > ◦ Initial Onboarding Sync - how far back does data pull > ◦ On demand refresh - type of data this pulls
29,2025-02-26 00:13,We were also curious why the report does not include API data on it? cc
29,2025-02-26 00:13,Is this by design?
549,2025-02-26 00:14,the “institution” balance should match the balance info we get from the API for the corresponding connection
549,2025-02-26 00:15,"I can pull that other info as well, though note that the pulse checks run on their own cadence and do not run at the same time as when we sync transactions"
29,2025-02-26 00:15,"Oh apologies, I meant more specifically we don't see the JPM API connections on the report. So does that mean they are generally aligned?"
549,2025-02-26 00:16,"ah got it. yes if you don’t see a particular connection on the list, that means that all accounts for that institution are currently balancing out"
549,2025-02-26 00:16,I have seen that occasionally this fluctuates a bit since we check it each day
29,2025-02-26 00:16,"Ok cool this makes sense, thank you!"
3,2025-02-26 13:55,Hey - would you be able to send out a new excel sheet today? I’d love to be able to compare it to yesterday’s to see if items cleared off or if some are still there!
549,2025-02-26 19:48,"yep, I will grab this shortly"
549,2025-02-26 19:49,"note that these accounts are synced over the course of a day, so it’s possible depending on exactly when the account was synced and when the mismatch was corrected that it may still show the stale value"
3,2025-02-26 23:09,"thanks - looked through several again, seeing the unposted as issues. It did look like there were some new ones on the list, but the issues were from weeks/months ago- is there a reason why they wouldn't have been on 2.25 list and just 2.26? is it the same syncing thing?"
549,2025-02-26 23:14,eh that’s a good question. do you have an example? I would have expected if the unposted journal was far in the past that wouldn’t have changed.
549,2025-02-26 23:14,it could be the journal was created recently with a date in the past or something though
3,2025-02-26 23:15,"I deleted them, so I don't think they exist anymore- the dates when I was looking at the audit were from weeks/months ago tho, so not effective date of txn"
3,2025-02-26 23:15,if we see more I'll keep them as examples
549,2025-02-26 23:18,sounds good!
835,2025-02-27 18:23,Hi we are currently reviewing the data and we have a couple questions. Can you please confirm if above file data was populated yesterday ?
835,2025-02-27 18:41,is it possible to add Bank Name to the list ?
549,2025-02-27 18:42,are you referring to the CSV above
3,2025-02-28 16:13,hey - would you be able to send out another new excel sheet today please?
549,2025-02-28 16:14,yep will do
549,2025-02-28 16:15,"if you see anything you think should’ve been resolved, let me know and I can take a peek"
3,2025-02-28 16:30,do you mind looking at vitalize fund II? <
3,2025-02-28 16:30,"lokos like the difference is due to an unposted JE from 2/20, but I didn't see on the previous sheets- do you know why?"
549,2025-02-28 16:31,"I’ll take a peek. unsure why this would change day over day, though there may be an issue with how I’m pulling this data"
3,2025-02-28 16:32,"hey - is there a goal time to have testing completed by? I know we're still finding some new items as well, so I'd assume we'd continue through next week, but want to ensure that timing aligns to what you're thinking! cc"
549,2025-02-28 16:32,cc and as well since FPI is planning to ramp up on bank feed observability soon
845,2025-02-28 16:33,Yes lets continue for next week. I can set up a touchpoint next week go through learnings and plan forward
3,2025-02-28 16:34,"oh... or I could just be wrong and my formulas weren't pulling in filtered data - - please ignore, I think it is on the 2.25 sheet once I unfilter"
549,2025-02-28 16:35,"ah, yeah that would do it. I pull 3 days back as well so it’s not super obvious which dates we look at"
845,2025-02-28 16:39,Set up some time for next Friday. Included the full working group
3,2025-02-28 20:00,"- would your team be able to prioritize clearing the issues for the entities in red font on the < tab> (there are 10 of them)? These entities have issues that are likely both on the cash rec team and bank team, and having the bank feed tied out to the bank first would be really helpful for the cash rec team to investigate!"
29,2025-02-28 20:01,we have been working off a different sheet! You are saying here that you need our review on these before your team can confirm the GL difference?
29,2025-02-28 20:02,"I think yes, it would be helpful, especially for the PLAID banks, we are adding manual for now"
549,2025-02-28 20:03,got it; I’ll start including the bank name when I dump these CSV
3,2025-02-28 20:04,"- summary of testing from today: < items for cash rec team to review>: • 15 had unposted JEs causing issues • 12 have items that are related to historical funky items- we've asked for FA's assistance in clearing these (dupe txns, conversion txns, etc) • 10 items have issues from both the cash and treasury perspective- cash team to dig into after bank balance ties to bank feed • 3 items related to foreign currencies- not sure the best way to dig in here, or if can confirm fx is being taken into account? • 2 items related to the sweep balance in 1003 potentially not being pulled in and it's causing discrepancies cc"
549,2025-02-28 20:19,"ah good find re: currencies. I’m not doing anything smart here, so I expect those are out of sync"
549,2025-02-28 20:19,"the _feed_ balance is probably still correct since I think we book all transactions in USD, but I bet the GL was booked with the entity’s currency"
3,2025-02-28 20:26,"- that would be helpful, if it doesn't take away from the other items! I think these have issues both at the bank feed and at the GL, so was hoping that if your team could clear the bank feed difference, it'd make it easier to isolate the issue between the GL/Bank Feed for the cash rec team!"
3,2025-02-28 20:28,that aligns to what we see in the three examples of it!
3,2025-02-28 20:29,"- we've asked FA for assistance in clearing up some historical issues by EOD Monday, so I was going to next ask for a sheet on Tuesday- does that work for you, or would you see challenges w/ it?"
549,2025-02-28 20:29,"yep, I can run this pretty easily, so just let me know when you want me to pull numbers and I can do that"
845,2025-02-28 20:36,are you guys able to look at the Treasury items flagged here on the same cadence? let me know how you want to run the checks. Once we have confidence in the bank data bank feed check we can move towards eliminating the bank statement upload task for unaudited entities
29,2025-02-28 20:37,we can make that work! TY
549,2025-02-28 20:39,"also, tracking the inconsistency with international currencies here: < we should be able to fix this"
29,2025-02-28 20:43,"on that note if we see things that require investigation should we be flagging here or to oncall? Or for the purposes of this exercise just resolve and call it a win? Ex: Direct Connect is connected, balance is off in Carta vs institution. Two txns missing from 01/31 but all before and after were uploaded via DC and no steps to remediate via DC are working, we would just upload the two manually. So this means the pulse check is working, but the why behind the missing txns is missing. cc _Entity: 124967 Red Swan Ventures Management, LLC_"
549,2025-02-28 20:47,"great question… understanding the root cause may be helpful for us to identify more systemic issues or bugs that could be causing issues across many funds. However, tracking that down can be very time consuming, and we can’t always explain exactly how these discrepancies occurred what do you think makes sense here? cc / we may want to scope some capacity for both of our teams to look into these as we see them."
845,2025-02-28 21:27,"Good q . Two thoughts here: • First thing i want to test is if the pulse check works. E.g. if the issues you're identifying here are getting _exposed_ due to the pulse check, but not caused by an error in the pulse check logic. If over couple weeks we are in a place where we dont see errors in the pulse check itself, then we can move toward eliminating the statement upload task for non-audited entities and just rely on pulse check to flag discrepancies. • Second and more long-term and ongoing thing would be to track the reasons why we're seeing missing txns. To me this is more of a ""run the business"" thing we just need to do. Do you have a place where you flag those today? similar to Zero error motion -- you should fix when you see it, but we may want to keep a log that FPI team and FOPs can monitor and then work through async as we see patterns."
835,2025-02-28 22:14,"Hi and , While reviewing the file, we noticed that most of the Plaid transactions are correct as of today. However, the issue seems to be that the bank feed in Carta is updated with a delay, which is why the balance appears incorrect. Would it be possible to update the pull check logic to reflect the previous day's pulls instead? Thank you cc"
549,2025-02-28 22:15,"do you have an example we could investigate? The check currently verifies the balance 3 days in the past, but there may be a problem with our approach"
835,2025-02-28 22:22,< - We didn't see the other file and we created new one. All of the marked green entries.
29,2025-02-28 22:23,this goes to the question of how often we are refreshing and pulling data from plaid into the feed. We see feeds can take anywhere from 24-48 hours to be brought up to date. (sometimes more depending)
549,2025-02-28 22:24,"right, though I would think that the 3 day lag we’re using in the current pulse check should cover that"
549,2025-02-28 22:24,the report I pulled earlier today was checking balances as of 02/25
835,2025-02-28 22:26,We were looking into the data from file pulled out on 2/25 not today. Was there updates made to the logic since then ?
549,2025-02-28 22:30,"no there shouldn’t have been any changes to the logic. so, that report appears to have 2/22/2025 as the “As of Date”, right?"
549,2025-02-28 22:40,"so the discrepancy between ~the feed~ Plaid and GL appears to be $217.87. I see that there was a transaction with an effective date of 2/24, but we didn’t pull that in until 2/27"
549,2025-02-28 22:43,"we did pull transactions several times from 2/24 to 2/27, so I don’t understand why Plaid didn’t report this until 2/27 cc , this is kind of weird. it looks like Plaid had a very large lag reporting this transaction"
29,2025-02-28 22:46,"So the question here is, if we review the file and see that the feed is not up to date but based on the way carta<>plaid integrate the data will come within a day or so, is the pulse check working? Or do we need to re-asses how quickly Carta is refreshing the data with Plaid. In most cases by the time we check the feed is up to date OR we can hit ""sync"" or ""on demand refresh"" to pull them in."
29,2025-02-28 22:55,"this is exactly what I am trying to get at, thank you! we did pull transactions several times from 2/24 to 2/27, so I don’t understand why Plaid didn’t report this until 2/27"
29,2025-02-28 23:12,"We connected with a bit and we will note items we think are a ""Pulse Check Issue"" and ones that are a potential ""Data Ingestion Issue"". Thank you for the additional context"
549,2025-02-28 23:25,"for sure! also, here are all the transactions we pulled from Plaid and when we pulled them for the last few days: ```2025-02-28 0640.220530 get_transactions 858.75 2025-02-26 217.87 2025-02-24 ************* 2025-02-28 0006.332253 get_transactions 858.75 2025-02-26 ************* 2025-02-27 0805.142628 get_transactions 858.75 2025-02-26 217.87 2025-02-24 ************* 2025-02-27 0629.972672 get_transactions ************* 2025-02-27 0006.430734 get_transactions ************* 2025-02-26 0636.429660 get_transactions ************* 2025-02-26 0006.802527 get_transactions ************* 2025-02-25 0633.603801 get_transactions ************* 2025-02-25 0027.381299 get_transactions ************* 2025-02-24 0635.106496 get_transactions ************* 2025-02-24 0006.435652 get_transactions ************* 2025-02-23 0633.556654 get_transactions ************* 2025-02-23 0004.824904 get_transactions ************* 2025-02-22 0634.605922 get_transactions ************* 2025-02-22 0006.665510 get_transactions```"
549,2025-02-28 23:25,"I really don’t understand why that transaction on 2/24 didn’t show up until 2/27, but it definitely seems like Plaid just didn’t return it for some reason"
12,2025-02-28 23:25,What type of transaction is this
549,2025-02-28 23:26,looks like a transfer? unsure if it was a wire/ach though
12,2025-02-28 23:27,It is a wire out
1785,2025-02-28 23:28,Should we reach out to plaid about this? This is so strange
12,2025-02-28 23:28,We can go back to plaid and mercury to investigate
29,2025-02-28 23:30,It would be really helpful to know how often we are trying to pull the data and refresh the feeds as well.
845,2025-02-28 23:37,Agree reaching out to Plaid on this would be great !
845,2025-02-28 23:37,I think it great that the pulse checks are surfacing some of these issues. Easier to provide visibility and quantify these issues too
12,2025-03-03 17:00,pinged plaid on Friday. waiting for response
29,2025-03-03 18:23,"Hey wanted to confirm how we get ""institution balance"". We are looking at Blue Lion Global I, L.P which is mercury plaid. The reported institution balance was 2398396.30 as of 02/24. This balance never existed. I get that total if I add the two debits (-2.3mil posted on 02/28 and -312 posted on 02/26) to the current Carta feed on 02/24 (98396.30) but I shouldn't be adding them I should be subtracting them. It also says data as of 02/24 but the balance at the bank as of 02/24 would have been correct. Not sure if this makes sense but this one is difficult to tell what the issue actually is."
29,2025-03-03 18:24,as fyi I am not sure I will be able to get Plaid the data they need for what you flagged to them based on the way their system works <
29,2025-03-03 18:25,I can try to find another example though.
549,2025-03-03 18:27,"this could be a bug in our pulse check. I’ll take a closer look when I get a chance some of our integrations don’t provide a way to get the historical balance, and in those cases we need to calculate it by determining the current balance and subtracting any transactions that occurred between the start date and current date"
29,2025-03-03 18:30,"Ok, thank you. Just flagging that it seems strange that we get the total positive balance by essentially adding debits as if they were positives."
12,2025-03-03 18:35,": In order for us to file support request ticket to Plaid, would need few details. Could you help share?"
549,2025-03-03 18:40,could someone on FPI take a look? I’m not sure what you’ll need and the information is in the existing audit logs (cc since you’re ramping up here this week)
29,2025-03-03 18:42,"For clarity, I would need to find the specific information and tie it to an item id on their platform. Screenshot of what that looks like below. Its like looking for a needle in a haystack unless might know of a better way to search."
1022,2025-03-03 18:43,I can take a look
549,2025-03-03 18:43,"also I don’t know what Plaid would need to investigate this since we need them to tell us why they didn’t return data. we can send along any request IDs we had where we think they should have returned the transaction, but without more context, it will be challenging to know what they need"
29,2025-03-03 18:44,Their support tickets also take months to resolve but happy to submit (or try to submit) whatever we find/think the issue is to get the ball rolling.
29,2025-03-04 01:39,"Hey I took a pass at the items noted in red and left some notes for what I could or could not resolve. For most of the ones I can't resolve, I see significant issues spanning many years. These would likely need to be escalated with FA for solutioning but I am surprised for most that they were not already caught."
3,2025-03-04 15:35,"- would your team be able to assist with these as well? looks like bank balance hasn't been tying to the bank portal for years, so not sure how Carta's been getting deliverables out"
3,2025-03-04 15:35,- would you be able to send over a new spreadsheet today please?
1400,2025-03-04 15:36,"prob, but some of these are strat clients, so we'd have to connect w/ the team first"
1400,2025-03-04 15:38,"i'll ask if Cecilia can find the bad txn for a couple of these, which is 1/2 the battle"
29,2025-03-04 16:46,Thank you !!
549,2025-03-04 16:58,cc this now includes the bank name as well
3,2025-03-04 18:45,thanks - noticing a few things (some repeats) • 4 foreign currency accounts don't tie to GL - should these be excluded • 1 false identification on spreadshet • 5 unposted JE issues • 2 issues w/ sweep accounts • 4 instances where unrec'd cash per the spreadsheet is off from what I'm seeing on the bank feed Tab <
549,2025-03-05 00:53,"cc , do you have time to sync up on these discrepancies? I think there are a couple things we probably ought to dive into, and makes sense to pair on those"
1022,2025-03-05 00:55,"yes, lets do it tomorrow!"
549,2025-03-05 01:09,"just wanted to follow-up: I didn’t forget about this, but still haven’t had a chance to dig in yet and I will take a look at this case tomorrow"
549,2025-03-05 19:27,"and I took a look at this this morning. I believe the issue is related to international currencies (cc since you noted this in another thread also) The issue is the bank feed always records transactions in USD, but the GL uses the fund’s currency. In this case, the GL was using EUR instead of USD, which triggered the failure. One problem Felippe and I noticed though is that many of the journal lines did not define the exact conversion amount: < For these journal lines where the conversion amount wasn’t recorded, we don’t have a way to know if the amount was converted correctly. It appears this is very widespread also (approximately 7 million journal lines for international funds aren’t recording the conversion amount). cc , I’m unsure if this is a real problem or not, but this is something we may want to follow up on. We should likely sync up with the international team to understand if this is expected. It could be that we want to update the pulse check to indicate whether or not a journal recorded the conversion rate."
549,2025-03-05 19:27,"so TL;DR we’ll work on fixing this case for international funds, but there are a couple open questions we’ll need to understand first"
845,2025-03-05 21:40,"for this set of international funds are your teams doing the same set of tasks as you would for US funds? Do we need to consider these funds in the check right now, or ignore/route to international teams?"
29,2025-03-05 21:43,"Quick clarification, you are saying the Blue Lion Global example is in a different currency? I would need to re-check but I don't believe I saw that in the bank."
3,2025-03-05 21:44,"- cash rec shouldn't be supporting international funds, but there are a few standard/growth clients that have non usd"
29,2025-03-05 21:44,"to jump in for Scott our team was actually wanting to flag we don't service international, investran, and syndicates and we have been seeing these pop in to this report, however as long as the logic in our sheet we work filters these tasks out we're not too concerned if the pulse check identifies them, on our side."
845,2025-03-05 21:48,How would you know if its one of those types of accounts today? I dont see that as a filter on the Pulse dashboard right now but is this something we may need to add to filter out international? Or do you have another way
549,2025-03-05 21:48,you are saying the Blue Lion Global example is in a different currency correct. journals for this fund are actually recorded in EUR rather than USD
845,2025-03-05 21:53,"would it be helpful if we had a way to add Firm Segment? Sounds like we'd still have some funds serviced by the US team that you support that have the currency issue, but that may be a minority if we can remove funds nobody is working on. I can ask the Singapore and UK teams what they do, i'd assume they have their own processes they just handle."
29,2025-03-05 21:57,"thats exactly it, our report currently filters out international -firm segment. I think it would be helpful to at least filter those out for now so we focus on what we can control but again as long as our sheet logic filters these out we should be ok. It is also a small population (that we may one day service)."
