u,t,m
1089,2025-01-02 09:57,"Hi all, I noted some broken rules in an Asana board whereby the owner has already left Carta. Could you please grant me owner's access to the following: < Attached snip of one of the error message. Thanks,"
620,2025-01-02 15:32,"Hello , InfoSec does not manage Asana. I will repost your inquiry in , they will be able to assist."
1418,2025-01-02 16:15,"Hi Team, I see that the Fast Forward Group email was flagged as phishing, but it’s legit. Thanks!"
244,2025-01-02 17:24,could we get these two Metabase instances behind Okta?
620,2025-01-02 17:53,"Hello , Can you help with providing an email address or subject line to help narrow down the search. Thanks in advance"
1418,2025-01-02 17:54,Sure thing - please see attached.
620,2025-01-02 17:57,reported the message. Sharing visibility to help provide awareness. I've update it to classify as safe.
978,2025-01-02 19:03,"yep, should i schedule call with you for the setup or is anyone else leading it?"
273,2025-01-02 19:14,"hey, the links in the email go to carta.rocks addresses and it is still flagged as suspicious in our system, just want to double confirm this is a legit email"
850,2025-01-02 19:21,"We have a client who likes our Chat browser and would like to know the name of the software we use, any issues with disclosing this?"
134,2025-01-02 19:25,"when you have time, can you mark these as legitimate (the ones from planyear)"
978,2025-01-02 19:34,"hey all, the banner should be removed in the next 15 mins. i also included planyear domain to exemption, since this will be the benefits app for Carta yeah the links are pointing to our email filtering instance (Material Security, which runs with the carta.rocks domain). i confirmed the email is legitimate, and the link redirect will change once the banner is removed"
273,2025-01-02 19:38,"cool, I suspected as much - usually those are on the email you all send out to see if folks fall for phishing so wanted to quadruple check"
850,2025-01-03 17:22,The client has responded. Do we have an update on this?
836,2025-01-03 21:12,"Hello, I sent in a request a few weeks ago in regards to having access to carta Sandbox and carta production. However, it looks like I still do not have access to either of them. I need to make sure permissions in the support role are the same as ."
134,2025-01-03 22:08,"if you have some time, thanks in advance"
325,2025-01-03 22:48,"for my knowledge, is there an SLA the team has for approving Carta Webb access requests?"
978,2025-01-03 22:52,youre all set now
836,2025-01-03 22:57,thank you! looks like carta production is working but sandbox is still not.
978,2025-01-03 23:13,"got it. please go ahead and check sandbox again, should be set now"
836,2025-01-03 23:14,"working, thank you!"
460,2025-01-06 15:45,Hi team - Wanted to see someone can let me know how I can set up Gmail + Calendar as shortcut icons on my dock? I tried clicking the three dots and setting up a shortcut but couldn't. Grateful for any support on this! TY
134,2025-01-06 15:55,"Hi on the webpage that you have the Carta gmail (follow same instructions) when you are doing calendar, as well. Go to settings then cast, share then go to the same spot I'm showing below Yours will say ""Install page as app"" Click on the next couple of pop-ups"
620,2025-01-06 15:55,Install as page as app.
620,2025-01-06 15:55,Beat me to it lol
134,2025-01-06 15:55,And you will now see the Gmail or calendar as an app
460,2025-01-06 15:55,Thank you both!!! Let me look into it and circle back! appreciate you hopping in
460,2025-01-06 16:27,I'm all set! Thanks again for your help
460,2025-01-06 16:32,"Actually / - sorry it looks like it failed... see screenshot. I proceeded to ""open in gmail"" but when I do that it wouldn't let me log in"
134,2025-01-06 16:33,"I'm in the basecamp (for new hires Jan. 6, 2025, but can do a call with you if you're still stuck)"
460,2025-01-06 16:37,yes I'd appreciate that
1576,2025-01-06 18:18,"Hey Team, Is this the right channel to ask to recover/reset my 1password eshares account?"
134,2025-01-06 18:19,Hi that's something helpdesk-it can help with
134,2025-01-06 18:21,"Hi I've initiated the recovery, you will receive 2 emails, just follow the instructions, and then update here in the thread, when you've completed that. IT needs to complete recovery"
1576,2025-01-06 18:22,All is working now thanks!
846,2025-01-06 19:24,Hey team! Any updates here? I still have the customer waiting on the response.
271,2025-01-06 20:01,"Hey all -- I wanted to follow-up on some concerns around our Okta-preview environment and our data security + privacy of that environment. This will help guide our recommendations on usages of the preview environment for the fund admin team and how we can leverage our google sheets integration. Our application (FundAdmin) uses a google sheets integration that allows us to automatically generate sheets that can be used for backfilling and mapping data within our system. For production environments, we use our production google service account credentials and for all lower environments we use our test google service account in the okta preview environment. My question for infosec is around the security of our okta preview environment given *we are unable to use the Island browser.* Attempting to sign into the preview environment on Island gives us the message `This account is not allowed to sign in within this network.` -- however we can sign into this environment on chrome so we've taken to using chrome for lower environments. Given the possibility of placing PII and sensitive data in these sheets, is it OK for us to be using chrome in lower environments? Are there significant risks to being unable to use Island here and should we be following-up with IT on making it possible to leverage the Island browser for our test environment? Thanks for any help here."
978,2025-01-06 20:57,"hey , thanks for reaching out. few questions: 1. are you getting blocked signing into okta preview on island, or the google account? 2. where is the authentication happening? from your laptop, or from a different environment?"
271,2025-01-06 21:02,"Thanks for the reply Kevin 1. We are getting blocked signing into okta preview on island -- I say island as I'm able to login to my account from chrome so I don't believe it's my account being blocked but the combination of the account and browser 2. Could you clarify what particular authentication you're referencing? The authentication for viewing the sheet is done on my laptop, the authentication for _creating_ the sheet is done by the system on a different environment using our google service account credentials."
978,2025-01-06 21:30,"got it. ill book some time out on your calendar for quick zoom call. i'm not seeing any logins blocked in okta preview coming from your account, so would like to run some tests from your browser."
