u,t,m
85,2025-09-22 16:10,"HI , the < brief for Magna >is ready to go, when can we kick this off? Launch date is December 10, 2025."
1349,2025-09-22 16:11,October 12? I thought Dec 10
1349,2025-09-22 16:12,"Sorry, ignore me -- 10/12 you mean Dec 10 right ?"
85,2025-09-22 16:13,"yes, lol, too much time in Europe!"
1349,2025-09-22 16:14,"Does this require the web design system to be worked out before we're able to kick-off? If so, can we kick-off the week after the onsite?"
85,2025-09-22 16:18,"This page will most likely be hardcoded, at least some sections. I am a bit concerned on timing, given that we need to ""re-craft Carta's story"". For context, the goal is to create a brand new page, not to port the existing page into the new design system."
1349,2025-09-22 16:19,Can we chat about this in our 1:1? Just thinking about the messaging that will likely play a big part in this and knowing that Nicole won't review that until end of next week Adding to our 1:1 agenda!
85,2025-09-22 16:25,let em know if you need more context... we will also need to think about the about us page (we can kick this one off after the onsite).
1360,2025-09-22 16:43,absolutely
1360,2025-09-22 16:44,"Roger that - thank you, and I into it in our 1:1 today"
1349,2025-09-23 18:37,"Josh, Dave, and I chatted and we'd like to propose official kick-off to be scheduled for the week of Oct 20th. Does that sound ok?"
85,2025-09-24 14:34,We will have to work fast and make sure we get Nicole's approvals fast in early phases. HPs tend to get a lot of opinions across the board. We will define a RACI that makes sense and we have sign off on so we have clarity from the start.
85,2025-10-14 19:38,", , - can you add links to the copy doc and figma file?"
1360,2025-10-15 06:05,here's Figma -- copy doc will be on the way this week <
85,2025-10-15 06:06,is reviewing and he has some feedback.
1306,2025-10-15 10:29,- do you and Arif want a call with Chris S on Friday? LMK and I'll set it up
85,2025-10-15 15:49,Yes please!
85,2025-10-15 15:50,"and , we need to get Nicole to sign off on the HP this week, are we at a point that we can show her the concepts?"
1349,2025-10-15 16:03,*Update*: lets review with Chris P. in our Magna Weekly sync today I'm finding time on Nicole's calendar for tomorrow or Friday to review concepts. Just want to make sure Chris P. reviews first
1306,2025-10-15 16:06,Great - Thanks Taylor!
1360,2025-10-17 02:43,"-- some test copy for Homepage is loaded into here -- < (I like to do it on the actual mockup, so I can see how it's flowing) I may have overwritten a bit -- but let's see! Interested to explore how this plays"
85,2025-10-17 14:53,"Thanks Josh, looks good, but we need to pair down significantly, I would start at Carta's platform... and I would even remove the word platform: Carta helps [...] model de future."
1985,2025-10-17 16:58,is Home V1 the most recent version? OK if I comment directly on there?
1306,2025-10-17 17:37,"Hey - Yep, latest is at the bottom of the figma"
1349,2025-10-20 21:27,Sharing the recording from todays review `*Oct 20:* Magna Web Concept Review w/ Nicole` < ◦ Passcode: #R^v4*EM
85,2025-10-21 19:17,"Hi everyone, we will be using this channel as a working group channel for both the HP and the About Us. Here is the core team: • * / :* Strat • *:* Design • *:* Dev • *:* Content (copy + vids + animations)"
85,2025-10-21 19:20,"*Agenda for October 22nd daily sync:* • Working group model + RR • International HP for launch? • Launch: test vs phased rollout • HP status check, unblocks • About us status check, unblocks • Anything else? Please add in"
1306,2025-10-22 14:21,"FYI - Chris S has some issues with his slack sign-in, but he does have the call cal invites"
85,2025-10-22 14:27,Here is the overall timeline: <
1360,2025-10-23 00:50,"Thanks for Meeting #1 yesterday, team. A few updates from my end:"
1360,2025-10-23 00:50,"(In threads, below )"
1360,2025-10-23 00:50,*`: LOTTIE FILE FOR HOMEPAGE`* ▪︎ ▪︎
