ts,user,text,is_reply,reactions
02-06 18:54,Dave MacFarlane,"OpenClaw (aka ClawdBot, Moltbot) has recently generated a lot of interest and attention. While it’s fascinating from a technology perspective, OpenClaw has been confirmed to steal credentials.

We haven't detected any installations or execution, local or containerized, and we're working to implement preventative controls to keep it this way in order to protect Carta.

Please continue to use our approved AI tools – Gemini, Librechat, Claude Code, etc.

Thank you!",,ack-tyx14 +1x18 +1::skin-tone-2x3 white_check_markx5 +1::skin-tone-4x3 +1::skin-tone-5x3 oof-100x2 +1::skin-tone-3x1 eyesx1
02-06 20:00,Sophia Tsang,Bad Bunny!,True,firex33 handshakex6 flag-prx13 thisx15 handshake::skin-tone-4x3 handshake::skin-tone-3x5 handshake::skin-tone-5x2 handshake::skin-tone-2x3
02-06 20:02,Krushi,Rooting for a close game (overtime) and may the best team win!,True,
02-06 20:10,zachatoa,I'm rooting for Bad Bunny!,True,firex1
02-06 20:13,hayley,"the commercials, obviously :blob_cozy:",True,100_rainbow1x2
02-07 01:12,nicole.baer,Gotta rep West Coast!,True,westx1
02-24 20:14,U053L6HNAHY,":party-sparkles: *International Women’s Month Nominations – Last Week to Submit!* :party-sparkles:

Hola! :totoro-wave: It’s the final week to nominate the incredible women and allies who inspire us every day!

Here’s a sneak peek of what this year’s nominations will look like—:jake_wow: You thought I’d share the real ones? Not yet! I’m keeping it fun with a _Mean Girls_ version for now. Get ready for the real deal in March! We’ll be honoring these powerhouse individuals in our #confetti channel all month long. :celebration:

:spiral_calendar_pad: *Deadline: February 28*
:love_letter: *Nominate up to 5 individuals!*

Let’s fill March with love and appreciation for the amazing women and allies who make Carta truly exceptional!",,heartx25 girlpowerx11 aww-cutex12 flower_happyx10 girl_powerx10 cherry_blossomx8 dead-5941x9 womenatcartax7
02-25 03:30,UPCAR6X9P,Are the Town Hall recordings from the past month available? I didn't see them in the Town Hall Recordings doc.,,
02-25 04:31,Nicole,"@user - Apologies, just updated the notes in the doc, but there aren't any recordings from this month!",True,eyesx1 thankyoux1
02-25 17:32,casee,They don't even go here!!,True,joyx3 deadx3
02-26 16:17,quinn.baker-drummond,"Good Morning Everyone! We want to make you aware that Slack is currently experiencing technical issues that may impact all users. Slack's team is aware of the problem and is actively investigating to resolve it as soon as possible. If you encounter any errors or disruptions while using Slack today, please know that this is a widespread issue on their end. We will provide updates as soon as more information becomes available. Thank you for your patience and understanding!",,thankyoux94 wifi_weakx28 thanks-beanie-babyx13 old_man_yells_at_slackx17 great-slack-attack-2025x2
02-26 16:20,steven.brodie,https://slack-status.com/,True,thankyoux7
02-26 19:29,fgueiros,Hey Quinn is slack back ?,True,
02-26 20:02,quinn.baker-drummond,"Hi Felipe! It looks like Slack still has ongoing issues unfortunately. I just did a refresh and its still showing issues, its going to be 50/50 with what users are experiencing. Some might be able to send messages while others can't.",True,thankyoux1
03-03 16:48,Jess,X-posting!,,party_whalex16
03-03 18:16,U07RXT0DXBQ,"Following from our Show &amp; Tell last week, we’re LIVE today with the Times Square “spectacular” billboard. Today is just for creative testing, so if you’re in the city and want to see it, it’s at 50th&amp;Bway. Full flighting will be 3/16-4/12.

Shouts to @user @user @user @user @user @user

#LFG!",,orange_heartx92 celebratex54 carta-intensifiesx36 raised_handsx19 heartcarta2x33 raised_hands::skin-tone-2x8 cartawavex18 cartawave_2x17 letsgox9 raised_hands::skin-tone-3x7 blue_heartx9 harrypotterx6 raised_hands::skin-tone-5x3 raised_hands::skin-tone-4x3 heartx2
03-03 23:11,nicole.baer,"I have rewatched the video at least five times, chills every time! LFG TSQ",True,heartcartax10
