u,t,m
915,2025-12-09 17:14,"Hi - writing because I was looking into the Implementation project for Garden City and noticed was listed as the IM for the portcos, seemed to be the assigned CSM for some of the portcos, and seemed the assigned CSM for Garden City Equity. Was hoping we could all get aligned re: who should actually be assigned to this relationship as well as get clarity on when should be reaching out to begin the Onboarding process for the Valuations side. Appreciate we're still in the early days of selling these CT Mgmt + Valuations deals to PE firms, but goal is to get alignment so we can iron out what the process should look like going forward. Thanks, everyone, for the input and considerations here!"
342,2025-12-09 17:35,I think the puppet masters of the client partner role on the CT/WF side would say that the client partner would join some of the sales calls where it makes sense based on some threshold(s). Thresholds: • ARR of $100k+ OR • Firm AuM of $5B+
342,2025-12-09 17:37,and then obviously natural constraints would be factored in like does the client partner have availability
1351,2025-12-09 17:48,Hi all - we have a KOC today that April and I are attending. Please let me know if we should adjust!
312,2025-12-09 17:57,I believe I should be the CSM - are you able to add me instead? we will work to adjust the port cos
1351,2025-12-09 17:58,will do! and actually she just moved to thurs
915,2025-12-09 18:00,"Pls invite me as well, , would like to stay involved in the first couple of months"
915,2025-12-09 18:34,"thanks , just accepted"
915,2025-12-09 21:05,"apologies - have a prospect call at the same time as the Garden Equity call this Thursday, but will review the call summary once its sent! pls do continue to invite me to other Onboarding calls w/ them as we work through Implementation"
315,2025-12-11 16:53,- this was sold on the ASC820 self-serve SKU (altho I think it's the Val tool). Who should we be working with on the Val side to support this deal?
315,2025-12-11 16:55,- it looks like these were sold w/o WF. Is that correct and can we properly support the Val too without it?
915,2025-12-11 17:03,"Hi - confirming Garden City did NOT buy WF as part of their issuance subscription, but DID buy the self-service Vals software"
915,2025-12-11 17:03,", however, let me know the following just the other day, btw:"
915,2025-12-11 17:05,her comment was a reply to mine:<
340,2025-12-11 17:12,"My tentative understanding is that the intention is to have waterfall modeling automatically included in all portfolio valuations deals as a part of the package; however, because the product is not attached to the oppty in SFDC there is no implementation project automatically created and the feature is not automatically enabled in the platform."
915,2025-12-11 17:16,so do I need to re-open the Vals opp and ask DealDesk FA to add LLC Waterfalls to the quote??
915,2025-12-11 17:17,pls advise when you can
915,2025-12-11 17:17,"thanks for asking, btw, because I raised the question from my end just earlier this week as well: <"
340,2025-12-11 17:19,", no - we can handle this for the waterfalls on the back end. We will work to solve for this in the future."
315,2025-12-11 17:21,"For our internal processes, should we get WF projects created so we can get WF analysts assigned?"
343,2025-12-12 20:25,will be the waterfall and valuation technical manager for Garden City. Can you start adding him to calls?
1351,2025-12-12 20:27,Thank you! We have 2 cap tables migrated to Carta and have been submitted to our QA process. OAs are in the data room. Please let me know if the cap tables need to be adjusted based on your review
1351,2025-12-12 20:29,Believe the WF projects have not been created in sales force... the names of the two entities are Westbrook and Commercial Residential Aluminum
339,2025-12-12 20:38,"Thanks team, do we have waterfall implementation projects set up for Garden City? If so, what are the portfolio company names?"
340,2025-12-12 20:41,Yes. The following portcos have WF projects set up for them. • Connext • Wathco • Westbrook • Commercial Residential
339,2025-12-12 20:46,Thanks ! Heads up those projects aren't showing up in this dashboard (maybe that's being worked on right now): <
340,2025-12-12 20:46,"yeah, the dashboard is set to pull entity records. Not project records."
340,2025-12-12 20:47,It may be possible to add on additional charts below to show project records.
339,2025-12-12 20:49,"Ok, so in order to keep track of firmwide deals I'll first need to create entity records - and I can create the entity and just set the status to 'new' and it shouldn't create any issues for the IM"
339,2025-12-12 20:50,"Let me know if that sounds wrong to you, otherwise I'll go through and start creating entity records"
339,2025-12-12 20:50,"Fwiw that's not a big lift for a smaller deal like this, I can see it creating issues for something larger like Shore or Swift"
340,2025-12-12 20:51,"We have a better solution coming early Q1 (hopefully) for firmwide tracking, there are just some precedent projects which need to be rolled out first"
340,2025-12-12 20:52,"Also it's super easy to create the entity records for larger projects, you just have to click one checkbox for each entity and they'd automatically get set to the ""new"" status."
339,2025-12-12 21:02,For firmwide deals and I supposed to set myself as the project owner? Or do I need wait until the cap table is set up to do that?
340,2025-12-12 21:03,Set yourself as assigned analyst @ the project level
339,2025-12-12 21:08,have we received waterfall information (operating agreement or excel model) for any of the portfolio companies? If so I can take a look through them and see if there's anything complex to consider during cap table implementation (eg. custom fields)
1351,2025-12-12 21:11,Yes OAs are in data room! Please take a look and let me know if have any comments for cap table set up
1351,2025-12-12 21:12,I've set up the PF for westbrook as 8% but I think that it might actually be calculated based on IRR flows so let me know if it's easier to remove and incorporate into the WF directly
339,2025-12-12 21:27,do they have distributions? If so we might need to do it in the waterfall
343,2025-12-12 21:38,"You don't necessarily have to do the WFs if they are Tier 1 or 2, I am thinking you're the face of the engagement. And I would love you to set up the val tool just because it is such a brand-new product for us."
339,2025-12-12 21:39,Understood. I'm reviewing the waterfalls now to see if there's anything weird to flag for the IM team (eg. custom fields we'd need)
