u,t,m
1346,2025-07-10 17:27,"Per discussion < we will use this channel for PR reviews. I'll update the github teams and mapping such that when we use the ""notify team reviewers"" tag in a PR, it'll redirect to here. You can still post PRs manually if you like, but please do it on this channel over the private channel"
1244,2025-07-10 18:03,Are we splitting ownership between the two international pods? if not we may want to have a shared reviews channel?! Bc `international-team-public` includes us all
1346,2025-07-10 18:13,"Based on my discussions with , my understanding is that we are becoming separate teams than separate pods. I think regardless of that, I'm planning to have a dedicated PR review channel so we can lessen the noise of the public channel. That channel seems to be more oriented towards team updates, bugs, some RD, and social. It seems like PR reviews from either pod are not being posted here but in the private pod channels atm, and PRs from other teams are posted in the I'm ok with this channel being used by both pods and for external teams. cc"
1346,2025-07-10 18:29,"I plan to do the same with members of the other pod after i'm done here. I plan to converse with afterwards once i have something up to share. Since this is being brought up now, i wonder what is your opinion Pawel?"
1346,2025-07-10 18:40,Two PRs out regarding the team PR changes if we're proceeding: • update github team members: < • channel mapping change: < Gonna merge the first PR anyway because we missed a few folks on the pod
1346,2025-07-10 19:16,< on the team repository access> in PR btw and if team would like to follow-up
684,2025-07-11 11:53,The < for the witness signature events that could use a couple of
1245,2025-07-11 13:28,< to remove dead code from Witness signature service
1346,2025-07-11 17:37,going to merge the second PR after staff and dx approvals. I can iterate depending on other pod's feedback
1346,2025-07-11 18:48,hm.. i need ’s codeowner approval but he's MTO until Jul 27... going to ping to see if i'm unblocked
1244,2025-07-11 19:50,Updating API contract implementation for sign witness request API: <
1346,2025-07-11 22:14,"Hey team, can get a review on < It's for SECINT-720 Update import template spreadsheets to use mmm/dd/yyyy date format. A review from `securities-international-team` is required. Thanks! (copying automated message from the other channel. Seems like the mapping is not deployed/working yet)"
1346,2025-07-11 22:18,looks like the < most recent tag> was from last week. Tho let me see if tags are being used at all
1126,2025-07-14 11:32,Can I also get some eyes on < please?
1244,2025-07-14 12:46,Hey Kenny! Do we have to undo any of the logic introduced for the (now removed) extra header row?
1125,2025-07-14 12:56,I think I agree with Leo that as long as the github team is `securities-international` it should group both pods and also should map to the common pr channel.
1125,2025-07-14 13:02,"I wouldn't mind having a common github team and code reviews channel for both pods. The things we're working on are closely related so I imagine we could benefit from code review ""cross-pollination""."
1346,2025-07-14 14:07,"i have a comment on the PR description. The gist of it is that since we're using the metadata tags, we should be fine. I was testing on local to double check but ran into some env issues. Will continue on that"
1346,2025-07-14 14:16,That sounds good to me. I also prefer both pods being on the same github team also. I'll have a follow-up PR to add the other pod into <
1244,2025-07-14 14:42,My bad. I missed that. Do you mind to file a tech debit ticket to remove it case we are not using? Just so it’s harder for us to just forget
1245,2025-07-14 14:49,< PR> to add 2 new columns to the WitnessSignatureRequest table. Will remove the deprecated fields once the application layer is sorted out
