u,t,m
1311,2025-05-14 14:41,"SIM, EU FIZ OUTRO CANAL Mas eu acho útil a gente poder trocar dicas sobre nossos bebês. Por favor, não tem *nenhuma* obrigação de ficar no canal, só fui adicionando quem eu lembro que tem gatitos e gosta de falar sobre"
1683,2025-05-14 14:50,como faz para o gato parar de julgar a gente enquanto a gente trabalha?
1311,2025-05-14 14:51,_where is my sachê_
1683,2025-05-14 14:52,tadinho tá há 20 minutos sem churu
375,2025-05-14 15:00,_Geleia entrou no grupo_
1491,2025-05-14 15:00,Pq parece que ela vai começar a cantar Vanish into you?
1321,2025-05-14 15:02,Avisa que a mamata do churu não é paga com carinho na cabeça não
1321,2025-05-14 15:05,Fumaça super curtindo o laço rosa que botaram nela. Mó paz.
159,2025-05-14 15:15,gente melhor canal
1687,2025-05-14 15:16,Bilbo experimentando o souvenir da viagem
1226,2025-05-14 15:19,"Quantos miaumigos lindos , disse Merlot"
76,2025-05-14 15:21,"""tem mais um grupo pra me expor? ai que ótimo....."""
1222,2025-05-14 15:39,só os bandidos online
1098,2025-05-14 15:42,ahhhhh te amo!
1110,2025-05-14 16:06,melhor canal da Carta
459,2025-05-14 16:07,nem tenho gato mas entrei
76,2025-05-14 16:08,essa ultima foto precisava virar um emoji
1222,2025-05-14 16:11,"""Carta stole my shares!!!!111"""
76,2025-05-14 16:12,"foi rápida, foi eficiente HAHAHAHA"
1110,2025-05-14 16:17,hahahaha amei!
159,2025-05-14 16:20,eu sou a maior fa do black sabath
159,2025-05-14 16:21,a ultima foto made my day
159,2025-05-14 16:21,nao tem `ainda`
459,2025-05-14 16:25,muito bem colocado
1321,2025-05-14 16:48,Batatinha vindo chorar depois do Vladimir ter perdido a mão na brincadeira.
1321,2025-05-14 16:48,mesma energia
1226,2025-05-14 17:13,"gente, essa foto tá TUDO!"
1321,2025-05-14 17:19,o cara é mt x9
533,2025-05-14 17:27,"Amora e Sofia adorando esse canal BR, agora elas entendem tudo rsrsrsr"
1683,2025-05-14 17:30,"as luvinhas, que elegante"
1421,2025-05-14 17:32,como faz para o gato parar de julgar a gente enquanto a gente trabalha? para de trabalhar
533,2025-05-14 17:45,uma lady rsrsrsr
1542,2025-05-14 18:33,pra ser contratado pela carta tem q ser gateiro ne
1542,2025-05-14 18:34,BATATINHA acabou cmg
1542,2025-05-14 18:34,eu morro com ele cara. meu soft spot. gatos pretos
1222,2025-05-14 18:47,AH PARA COM ISSO BATATINHA NAO DÁ
730,2025-05-14 18:57,"Anya Taylor Joy, a gata, dando seu primeiro oi por aqui"
1683,2025-05-14 18:57,oi Anya Taylor Joy
1321,2025-05-14 18:58,"cheia de olho, mané"
730,2025-05-14 18:59,"John Wick, o gato branco que vive bege pois adora uma terra, pegando um bronze (acima de tudo é um carioca nato)."
730,2025-05-14 19:01,"Sabem o que me atormenta? Depois de ter adotado ela, eu percebi que ela é a CARA da Florence Pugh criança"
730,2025-05-14 19:01,Mas já era tarde para mudar o nome
730,2025-05-14 19:04,Eu tenho provas:
1222,2025-05-14 19:05,AHAHAHAHA amiga por favor não se trate nunca
1222,2025-05-14 19:07,"gente ele tem essa carinha linda e ainda por cima é um amor porém os demônios da cabeça dele sempre vencem, sempre"
1542,2025-05-14 19:09,quem nunca po!!!
1542,2025-05-14 19:10,HAHAHAHAHAHAHHA
1542,2025-05-14 19:10,pior q ela é igual a anya taylor joy memo
1685,2025-05-14 19:32,"Salem e Coraline, e claramente só 1 cabe na caixa."
1542,2025-05-14 20:00,cabe todo mundoooo
1542,2025-05-14 20:01,"esse bicho VAGABUNDO invadiu minha casa, só comia LIXO. agora nao aceita menos que royal canin. Meet Gatao"
1542,2025-05-14 20:08,ele é demais. o amor de todos na casa
1685,2025-05-14 20:28,o nomeeee dela! hahhahaha amei demais!!
1685,2025-05-14 20:31,"gente que GATÃO pretinho, a minha pretinha é miúda um grão de gato hahhaha"
76,2025-05-14 20:32,um grão de gato
1222,2025-05-14 20:33,O Black Sabbath tem 4kg tb parece um fiapo
1110,2025-05-14 20:34,hahahah ele tá grande mesmo! pesando quase 7kg
1685,2025-05-14 20:35,"Mini-Salem (e já é adulta, viu?)"
1110,2025-05-14 20:36,lindinha demais
76,2025-05-14 20:37,"Trazer pra cá também o Benício, vulgo Rolício, vulgo Bonifácio, vulgo Boninho, vulgo Mauricio, vulgo Moacyr (o cara teve mais nome que a HBO Max)"
730,2025-05-14 20:39,O maior promoter da instituição “esquema de pirâmide felino”.
1542,2025-05-14 20:45,o sistema de distribuicao de gatos atacou novamente
1542,2025-05-14 20:55,"caramelo, ctza q é peste"
76,2025-05-14 20:56,pior que ele é um coitado da coitadolandia
1542,2025-05-14 20:56,ele tem MUITA cara de coitado msm mas as vezes eles enganam
76,2025-05-14 21:46,bagunceira é essa aqui
2161,2025-05-14 22:19,"“Serio isso, Mariana? Vai me expor em mais um grupo?” Nobara muito feliz e satisfeita como vocês podem ver"
1685,2025-05-15 12:38,essas presinhas de vampiro dele são o máximo!!
91,2025-05-15 14:16,Gaia da oi e um beijinho no nariz
159,2025-05-15 14:38,Como eu queria
1685,2025-05-15 15:41,a folga do safado hahaha
730,2025-05-15 22:00,"Pra eles estarem assim às 15h de uma quinta-feira, alguém precisa trabalhar, né?"
1542,2025-05-15 22:14,sempre digo que gato preto é a experiencia aprimorada do gato. o gato premium
1542,2025-05-15 22:15,tudo por eles
105,2025-05-16 16:21,Eu amo essa foto pq sei que dificilmente vou ver acontecendo de novo hahahhahah
1491,2025-05-16 16:22,reuniao de condominio
159,2025-05-16 16:33,ta faltando um frajola nessa foto
1491,2025-05-16 16:42,Amanda querendo trazer o caos pro equilibrio
580,2025-05-16 16:47,"""Pra que trabalhar hoje? Hoje é sexta"", disse Pandora"
1687,2025-05-16 17:08,"Temperatura cai 1 grau, os gatos automaticamente:"
1687,2025-05-16 19:09,"Gandalf mantendo meu mac de refém com seu bumbum ""Já pode parar de trabalhar pra me dar atenção, né humana?"""
479,2025-05-16 19:39,Esse lápis de olho dele é tudo!
130,2025-05-16 20:45,Alguém pediu um gatinho New Hire por aqui? HAHAHAHA A caixa do meu kit foi sequestrada e nunca mais pude descartá-la.
1542,2025-05-16 22:07,you shall not work!!!
1542,2025-05-16 22:08,gatinhos cariocas ué ta certo
1542,2025-05-16 22:08,o fio correndo perigo de ser roído
1542,2025-05-16 22:09,o frajola muito ARTSY
91,2025-05-19 13:52,Aceito convites para visitar seus gatos. Não vocês. Os gatos. Beijos
89,2025-05-19 13:55,Alguém mais tem um gato zoado que gosta de deitar na pia do banheiro? Especialmente pra te vigiar tomando banho?
89,2025-05-19 13:57,ROMEU AMOR DA MINHA VIDAAAA CASA COMIGO
1222,2025-05-19 13:57,comportamento normal e esperado e digo mais em breve voce vai querer que ele faça isso o dia que ele resolver mudar de hábitos
1222,2025-05-19 13:58,mas aqui vai uma dica: nao ensina ele a beber agua da torneira!!!
89,2025-05-19 13:58,hahahah não tenho intenção
1222,2025-05-19 13:59,eu tive um gato que amava e a gente achava fofo até ele só beber água assim kkkk e começar a abrir torneiras pela casa
1687,2025-05-19 14:19,Um dos meus gatos fazia xixi direitinho no ralo da pia do banheiro quando era mais novo
89,2025-05-19 14:19,ele que tá certo
89,2025-05-19 14:20,"meu Deus, que fofona!!!!!"
89,2025-05-19 14:20,que vontade de enfiar a cara nesse pelo
89,2025-05-19 14:21,"meu Deus do céu, Milo, não ouça essas palavras"
91,2025-05-19 14:23,iheziztíveL
89,2025-05-19 14:24,pfvr faz isso por mim
159,2025-05-19 14:26,ele quer agua da bica
89,2025-05-19 14:26,vc não ponha esses pensamentos nefastos na cabeça dele que ele tem uma fonte
159,2025-05-19 14:27,Nunca nada é suficiente
1222,2025-05-19 14:32,ele faz xixi na cortina do meu quarto? SIIIIM!! ele pratica parkour das 2 as 5 da manhã? SIIIM!!! ele sobe no ultimo andar da minha estante pra jogar boliche com meus funkos? SIIIIMMMM!!! ele já passou 14h dormindo no fundo do armário da área que é preto e não me ouviu chorar por 6 horas quase chamando a polícia e saiu como se nada tivesse acontecido dez segundos antes de eu me matar???? CLARO QUE SIM!!!! Mas tão lindo né não dá olha ele
89,2025-05-19 14:49,Acho que vc não deve fazer acusações sem provas. Olha essa cara inocente.
159,2025-05-19 14:51,Avisa ele por favor que eu sou presidente do fã clube dele
1222,2025-05-19 14:54,poucos sabem mas o advogado dele é o mesmo advogado do OJ Simpson
1222,2025-05-19 14:54,Tia meu sorriso pra vc como prova de amor e afeto
1226,2025-05-19 15:06,Milo voyeur
1226,2025-05-19 15:06,Eu amo um solzinho mamain Fazendo pose na janela nao daaaaa
91,2025-05-19 15:14,gente ele tem cara de GANDALF mesmo
91,2025-05-19 15:15,"P.S: Eu sou fã de personagens de velhos sábios, tipo Gandalf e Dumbledore. Me perdoem."
1687,2025-05-19 15:38,"olhando pro nada, pensando em tudo"
375,2025-05-19 15:57,O unboxing que ela ama
1222,2025-05-19 16:04,fancy feast é demais mas meus gatos pobres nao gostam só de whiskas sache só que o meu gato pobre só come se o sache ficar na geladeira AHAHAHAH
1311,2025-05-19 16:07,"Passei mal com o cochilo de 14 horas e você em pânico, hahahahaahahaha"
1311,2025-05-19 16:08,"Geleia é pura realeza comendo Goulash e Demi Glace, hahaha"
533,2025-05-19 16:10,Segundou humanos!
375,2025-05-19 16:17,"a gente já tentou outras, mas a madame nao aceita kkkk e só pode ser demi glace de frango"
1321,2025-05-19 17:11,Ela tava dormindo com muita força
730,2025-05-19 17:34,Eu não aguento quando eles dobram a patinha assim
730,2025-05-19 17:34,Eu morro toda vez
130,2025-05-19 18:52,Meu assistente não quer nada com a hora do Brasil.
91,2025-05-19 18:56,a nariz rosinha!
130,2025-05-19 19:00,"se reparar bem, vai conseguir ver que as patinhas dele são rosa e preto, malhadinhas"
76,2025-05-19 20:05,AGRESSIVE SLEEPING
1685,2025-05-20 13:24,a carinha enfiada na cama hahahhah
1321,2025-05-20 13:30,Claramente dormindo bêbada
957,2025-05-20 20:49,Precisava compartilhar meu gatinho naruto sorrido pra vocês
1311,2025-05-20 20:51,Eu não to sabendo lidar com essa barriga
479,2025-05-20 20:52,“paint me like you paint your french girls”
957,2025-05-20 20:53,eu n aguento com as poses que ele faz kkkkk
2161,2025-05-20 20:54,Meu deus que lindoooo! Eu sou louca pra pegar um laranjinha e chamar de naruto e e um preto pra chamar de Sasuke!
1685,2025-05-20 20:54,"nãooo, olha a POSE AHAHAHAHHA"
89,2025-05-20 20:55,a pancinha
89,2025-05-20 20:57,a woman of culture I see
1222,2025-05-20 20:57,o cara do fiadaputa chega
730,2025-05-20 20:57,"DÁ COMIDA PRA ELE, PELO AMOR DE DEUS"
957,2025-05-20 20:58,"ahhh na ninhada dele eu coloquei o nome de naruto, sasuke e hinata, mas só fiquei com o narutinho kkkk"
89,2025-05-20 21:00,vc não sabe que não pode separar o Naruto do Sasuke? isso gerou 720 episódios mddls
730,2025-05-20 21:00,E por que ninguém está falando que ele está SORRINDO??????
957,2025-05-20 21:01,KKKKKKKKKK ele é fotogenicoo
1491,2025-05-20 21:02,ELE SORRINDOOOOOOOOO
2161,2025-05-20 21:02,"Gerou 720 episodios e voce perdeu a oportunidade de ficar gritando NARUTOOOO, SASUKEEEE PELA CASA"
533,2025-05-20 21:03,He is real!
105,2025-05-20 21:13,"QUE FOFURAAAAAAAA!!! A POSE, O SORRISO, 10/10!!!!"
76,2025-05-20 21:19,Nikita já tá totalmente no formato gatoxinha
76,2025-05-21 14:05,Charme: 100000000 Contribuições pra casa: 0
159,2025-05-21 14:05,tudo dentro dos conformes
76,2025-05-21 14:06,Meeting expectations
1321,2025-05-21 14:06,half cat half língua
76,2025-05-21 14:10,eu acho imoral o mano nunca ter lavado um prato e se ver no direito de meter uma pose dessas
730,2025-05-21 14:10,Infelizmente a progressiva da barriga de Bruce Wayne está pedindo por um retoque.
159,2025-05-21 14:10,ele contribui com algo muito maior: nossa saude mental
730,2025-05-21 14:11,Ele assim:
159,2025-05-21 14:11,choveu encolheu
76,2025-05-21 14:12,"MAIS OU MENOS NÉ, quando eu tento pegar o Benício pra calibrar minha saúde mental, eu sou recebido com despreso"
159,2025-05-21 14:13,Um caso a ser estudado: dormiu assim sem apoiar em nada por horas
76,2025-05-21 14:13,o mano atingiu a forma final dele
1687,2025-05-21 14:14,"Gente, vocês têm indicação de vet que faça castração e não cobre um rim pela região do Flamengo/Catete?"
89,2025-05-21 14:15,"mas olha pelo lado positivo, : ele é lindo"
76,2025-05-21 14:15,"ele é! e ele sabe disso! E isso é um problema, ele manipula a gente naquela casa"
533,2025-05-21 14:15,Dormindo abraçadinhas... puro relaxamento!
1685,2025-05-21 14:15,a linguinhaaaa
159,2025-05-21 14:15,nao da para trabalhar depois de ver a foto da lingua
1491,2025-05-21 14:16,"O mais barato que encontrei foi no Upa pet do flamengo, ali na Paissandu. Gostei das vets e deu tudo certo com a cirurgia/pós"
533,2025-05-21 14:16,Irresistível
159,2025-05-21 14:16,eu ja fui na upa pet de copa e gostei bastante
159,2025-05-21 14:17,pode ir la em casa abraçar o romeu que é um pano de chao sempre que quiser
76,2025-05-21 14:17,"EU QUERO! Até porque em casa a pano de chão é a Nikita, mas não pq ela deixa, mas sim pq ela fica resignada"
89,2025-05-21 14:18,apenas nenéns
1311,2025-05-21 14:18,"Nós castramos a Niki na < por 4 Patas> e o valor foi bem ok (menos do que a Cigavet, o que não é difícil rss)"
1321,2025-05-21 14:26,Momento super importante da vida do Batatinha onde ele teve que decidir se continuava gato ou seguia carreira solo como batata assada.
1491,2025-05-21 14:27,same energy
76,2025-05-21 14:32,"end of the line for you, tater"
957,2025-05-21 14:39,"ele ta passando pela transição capilar, aceite a nova versão do divo."
1110,2025-05-21 15:16,como eu queria estar
1222,2025-05-21 15:30,COUSINNNNN
1222,2025-05-21 15:31,eu quando viajo de latam
1222,2025-05-21 15:32,"A UPA pet da paissandu é boa, a Apaixonados tbm, tive um amigo que trabalhava lá."
1687,2025-05-21 15:38,muito obrigada pelas dicas!
1687,2025-05-21 15:38,a que a gente leva pra consulta tá cobrando 1000 kkkry
1687,2025-05-21 15:38,só quero que o bilbo pare de fazer xixi nas coisas do pedro
159,2025-05-21 15:45,eu castrei bandida na sozed - faz muito tempo foi 150 reais na epoca e o dinheiro é revertido para ajudar a ong nao sei se vale a pena pq eles ficam no centro e é meio contra mao
76,2025-05-22 01:13,Pra quê ficar assim mano?
1294,2025-05-22 13:09,Acho que essa posição vai me ajudar na lombar
1321,2025-05-22 13:25,O flash deu uma vibe DENÚNCIA pra foto. ficou incrível
1222,2025-05-22 13:37,o catnip que me encontrou
1226,2025-05-22 13:47,Merlot está impactada com o penúltimo episódio de The Handmaid’s Tale
91,2025-05-22 13:51,Ajuda na circulação das patas/pernas
76,2025-05-22 13:51,"""esse catnip não é meu não senhor, colocaram isso no meu bolso"""
76,2025-05-22 13:55,Todo dia e eu vemos a Nikita testar jeitos esquisitos de dormir ou só ficar parada
1311,2025-05-22 13:56,"Buscando as formas de conforto dela, hahaha"
730,2025-05-22 14:00,"""fogo no patriarcado"" gritou Merlot após o fim do episódio"
375,2025-05-22 14:02,"Sobrinha e tia se conheceram pela primeira vez em Março, e desde então a gente tem tentando fazer essa união familiar acontecer sem sucesso Serena: _amei_ Geleia: _nao posso dizer o mesmo_"
1311,2025-05-22 14:04,"A diferença de personalidade entre cachorros e gatos em uma foto, kkkk"
130,2025-05-22 14:07,essa linguinha pra fora com as pontinhas dos dentinhos à mostra me pegam muito
159,2025-05-22 14:13,"Já vai sair de novo, humana?"
159,2025-05-22 14:14,gente essa cara merece virar um emoji
159,2025-05-22 14:16,eu sou julgada demais
76,2025-05-22 14:16,WIRED NIKITA HAHAHAHAHA
159,2025-05-22 14:17,owwwwwwwnnn
159,2025-05-22 14:17,romeu e pinot no metaverso
730,2025-05-22 14:53,Venda casada sendo crime mas e o esquema de adoção casada? Precisamos falar mais sobre isso...
105,2025-05-22 14:54,"A cara de ""é sério mesmo que vc vai sair?"" hahahhahahahahahahaha"
130,2025-05-23 15:14,Friday mood...
1222,2025-05-23 15:46,"Peço a atenção de todos para a Caribe dormindo, ela tem a barriguinha mais gostosa do mundo mas só posso tocar por 5s (são 5s incríveis....)"
286,2025-05-23 15:49,perfeitinha
286,2025-05-23 15:50,a pancinha
1687,2025-05-23 16:00,Sextou com pack do pezinho
130,2025-05-23 16:04,Barriguinha de melecaaaaaaaaa!
159,2025-05-23 16:06,obra prima da natureza
116,2025-05-23 17:18,"Gente, desculpa quebrar o clima de fotos fofas, mas vocês já viram ou tiveram relatos de gatos que são reativos a antibióticos? Huguinho teve uma gripe pesada com principio de pneumonia, e desde que começamos a tratar com o antibiótico que a veterinária receitou, ele começou a perder os movimentos das patinhas da frente. Ficou 4 noites internado, e foi aos poucos recuperando os movimentos, mas voltou pra casa antes de ontem e em 1 dia perdeu os movimentos novamente. (tem uma consulta marcada com neurologista pra essa tarde). Minha suspeita com o antibiótico é pq isso começou a aparecer depois que ele passou a tomar antibiótico, e quando ele tava se recuperando internado, eles pausaram o antibiótico. E agora que voltou pra casa e a veterinária receitou um antibiótico diferente, ele voltou com a perda de movimento nas patinhas :("
1311,2025-05-23 17:19,"Já tão na cadeira, faz eles trabalharem por você hoje! hahaha"
533,2025-05-23 17:25,"Sinto muito Noel, não tenho conhecimento desse tipo de reação, mas torço para que ele se recupere logo!"
130,2025-05-23 17:27,"Também espero que não seja nada grave, nunca ouvi falar disso, mas que seja dos males o menor: uma reação ao medicamento, curável e que passe rápido. Melhoras pro Hugo."
91,2025-05-23 17:36,"Oh meu amor, deve ser alergico/intolerante a antibioticos. Que seja uma coisa que suspendendo, ele volte ao normal! manda notícias"
1321,2025-05-23 18:12,dicas para carinho na barriga: sempre fazer carinho na barriga ao mesmo tempo que um carinho no rosto deles. É um processo que envolve as duas mões.
105,2025-05-23 18:32,"Poxa, que tristeza! Nunca ouvi falar disso, mas vamos torcer para que seja só reação alérgica ao antibiótico e que passe logo!!! Melhoras pro Huguinho!!!"
1119,2025-05-23 19:04,Meu deus nós temos os mesmos gatos
130,2025-05-23 19:22,"quero ""ibagens"", Comandante Hamilton! kkkkkk"
1119,2025-05-23 19:25,Sempre reflexivos
130,2025-05-23 19:27,"meu Deus, eles se parecem mesmo!"
91,2025-05-23 19:40,Bonito e Jovem brilhando
1311,2025-05-23 19:43,_A Melatonina é nossa porque dormimos tão pouco…_
1119,2025-05-23 19:46,Qual perfume nós vamos derrubar hoje ?
1491,2025-05-26 14:53,"Bom dia gateiros, lembrem-se de beber água!"
1311,2025-05-26 15:01,"Eu tive que abrir torneira pra gata dos meus pais esse fds também, SENDO QUE A SAFADA TEM DUAS FONTES kkkkk"
1491,2025-05-26 15:07,"kkkk eles sao assim, pq? nunca saberemos.. aqui é só na torneira tambem"
1222,2025-05-26 15:12,eu tive um gato que aprendeu a rodar a torneira do tanque
533,2025-05-26 15:41,Eu sou muito friorenta pessoal!
1321,2025-05-26 17:02,esse aí era o terror da cedae
1222,2025-05-26 17:20,Michael Kelso Malone
1686,2025-05-26 17:28,IGUAL ao meu Joquinha.
89,2025-05-26 18:47,Um Milo em sua torre não quer guerra com ninguém
159,2025-05-26 18:57,Cigana dissimulada
589,2025-05-26 20:20,", nunca vi isso no abrigo. Se precisar de indicação de neuro pra 2a opniao eu conheço uma mt boa. Espero que ele esteja melhor."
116,2025-05-26 20:27,"Nós optamos pela eutanásia . Huguinho nao estava mais respondendo ao tratamento, nem em casa e nem internado. Chegou num momento que ele nao se movimentava mais, e só de encostar nele pra alimentar pela seringa já era um sofrimento pra ele. Ele sentia muita dor com qualquer toque, e remédio nenhum tava aliviando essa dor. Foram mais de 10 dias de luta pra ele até ele conseguir finalmente descansar"
116,2025-05-26 20:27,obrigado todo mundo pelas boas energias
533,2025-05-26 20:29,Vc foi um papai incrível pro Huguinho!
533,2025-05-26 20:33,Milo- O Herdeiro
89,2025-05-26 20:33,"Milo, o Folgado"
533,2025-05-26 20:34,típico de herdeiro kkkkk
