u,t,m
1548,2025-06-17 13:45,"Hi team, supernode have signed their tactyc EL. please can you look at arranging an alias? Fund migration is almost negotitated so hopefully we can get that signed this quarter"
1485,2025-06-17 13:45,Brilliant!
1485,2025-06-17 13:46,Especioally about the _*Fund*_ as well coming inbound.
923,2025-06-17 19:48,Hey thanks for putting this together and sorry for the late reply here. Will review this engagement and having the team going through it first thing tomorrow. Are we providing fund formation for their fund when it comes? What’s their jurisdiction?
1485,2025-06-18 09:15,• The current engagement is just Tactyc for now. • However they are looking to migrate their existing Funds over. • United Kingdom.
1548,2025-06-18 09:40,no fund formation for fund II
1496,2025-06-18 09:58,"Hi all, the alias for supernode has been created here <mailto:supernodeglobal@carta.com|supernodeglobal@carta.com> and is ready for intro"
1548,2025-06-18 09:59,briliant- thanks guys
1368,2025-07-18 15:07,"Hi , I’ve discussed the 6-month termination for convenience provision with both Legal and Deal Desk. I had initially flagged this as a Finance consideration. has raised that ideally we would avoid including this clause, as it significantly impacts how we treat deal ARR. Allowing for potential removal of half a year’s revenue through mutual agreement poses challenges from a financial forecasting perspective. it would be useful for us to understand how critical this clause is from the customer’s side? noting our conversation, is this something you feel should analysed further internally because it's considered common practice in European markets?"
1548,2025-07-18 15:09,"thanks . This is pretty critical and this will become more of a request as we enter/win more RR mandates, espcecially against apex. I will try and call her and scope this out more but is the impression that I have been given so far"
629,2025-07-18 20:47,"Hi team, appreciate bringing me into this conversation. Terminations for convenience are not something we should be agreeing to as a company in any geo and historically as a whole we have not agreed to them. If a client can terminate a contract at any time for any reason and walk away with no obligation it poses the question.....can this be ARR? It's not a healthy practice for us to engage in contracts we acknowledge upfront can be terminated at will. Most companies do not agree to this type of term and I would argue that just because one competing company offers a bad contractual practice that we shouldn't start bad contracting practices for Carta."
415,2025-07-23 14:18,can you share the termination clause that they are proposing in this channel so I can view as that will help with the decision?
1548,2025-07-23 14:25,• The termination notice is 1 year; we currently have 6 months with Apex and this would be ideal This is what they have proposed- will go back and ask for spefiic legal language and revert
1548,2025-07-25 08:18,"Hi please see the proposed wording below: The initial Subscription Term begins as set forth on the applicable Order Form. Pursuant to the MSA (as defined below), the Subscription Term will automatically renew for additional ~1 year~ 6-month periods, unless either party notifies the other of its intent not to renew in writing at least ~15~ 30 days prior to the expiration of the then-current Subscription Term."
629,2025-07-25 14:47,"That's helpful effectively they are not actually asking for a termination for convenience, they are asking for a 6 month contract term. Carta as a whole functions on ARR and annualized contracts. We don't allow for shorter periods than 12 months initially or at Renewal. All of our internal systems and financial accounting is based on annualized revenue. This is not something we can agree to."
415,2025-07-28 09:38,Thanks. I suggest a call would be easier to articulate to them. We have a 1 year contract that renews annually. Then they can provide 15 days notice before next renewal. That is more advantageous to them than what they are proposing.
1548,2025-07-28 09:40,thanks both I have asked for a call to discuss
1548,2025-07-29 14:56,Good news- they have backed down. I will need go amend the contract dates and then they can sign
1548,2025-07-30 14:51,"Ahead of Supernode signing, they are keen to arrange a call to disucss migrating fund I over to us by 1st october, as well as fund II (which is currently being raised. Shes asked for the following times: Tomorrow afternoon 2-4 Tuesday any time from 11 or Weds pre-4pm. who shall we include from our side? I'd ideally suggest tuesday so we have time to work on a migration plan/ further internal brief ahead of the call"
923,2025-07-30 16:05,I am happy to join to discuss migration if needed
923,2025-07-30 17:33,Wait was the call with the client scheduled for tomorrow? Can someone please give me a brief of what we are selling? • quantity of entities • Location (assuming UK?) • First reporting • Vintage of the entities • any additional relevant context
923,2025-07-30 17:33,Also can we please change the channel name from vcff to vcfa if we are not providing fund formations services?
1548,2025-07-30 17:40,"Thanks ! This deal involves two entities. Supernode are migrating from apex (fund I is RR and CW as soo. as we sign). They have told apex that they are leaving to move to Carta. Fund II is being raised and should CW this year. The plan is to migrate Fund I and have everything under us for by 1st October, and onboard/migrate fund II at the same time. First reporting would be q4, vintages are 2017 and 2025, same as their tacyc vintages. Let me know if you need any more context/ have any questions"
923,2025-07-30 18:35,"Thanks , super helpful! Seems very straightforward"
1548,2025-07-31 10:29,they will sign the EL before the call
406,2025-07-31 11:26,brill - maybe today ...?
1548,2025-07-31 11:28,Yeah calls at 3.30pm
1548,2025-07-31 12:37,"hey supernode have requested a few changes to some of the EL fyi... wanted to flag that the name for the GP has changed: 2. The name of Fund II is ’Supernode Global II LP’ 3. As above 4. Number of investors is 1 Number of investments per year is 0 Not an audited entity 6. The GP is Supernode Global Ltd 7. Fund II name correction as above First Reporting period: Needs to be Q3 as we are investing already Numbers for Fund II should be in USD not GBP Target is $40m not £50m Current commitment is $20m, not £10m 8. Name correction 9. GP is Supernode Global Ltd From 1 Oct not First capital call 10. Name correction"
1368,2025-07-31 12:45,"Hi , these look like items Deal Desk can assist with. Were there any changes requested to the legal language?"
1548,2025-07-31 14:10,no changes to language - excited to get the closed won!!
1548,2025-08-06 09:31,Delighted to inform you all that supernode have signed the EL. This has been a tremendous team effort to land a strategic client like this from apex. A big thank you to everyone inolved
415,2025-08-06 09:34,congrats and well done getting this over the line. thank you for your support on this deal.
1548,2025-08-06 09:37,can we sync on when we can lock in our weekly onboarding tracker call pls?
406,2025-08-06 10:18,well done Great result!
1485,2025-08-06 10:19,Sounds good!
1548,2025-08-06 10:42,lets lock in 10am weds weekly please. any objections to this slot?
1485,2025-08-06 10:46,Sounds good. Any time works well for me.
923,2025-08-06 10:50,Glad to hear!!!! Let's go team!
923,2025-08-06 10:59,"Wed works well, thanks! This onboarding will be handled by with me supporting. can you please share all context notes you have for their 2 funds? I am reviewing the EL attached to their opportunity < and it seems they have: 1. RR for fund I, coming from Apex 2. Onboarding for fund II (I am really unclear if this one is raising or existing. Did they called capital outside carta already? On our last conversation with the client it seems that yes and this would also be RR) 3. Formations for the GP?? (is it just the product we needed to select in order to have the GP being onboarded or are we actually planning to form this entity?) 4. KYC 5. Facta/CRS (are we providing UK taxes for them as well? it is not on the contract) Please advise on the above, thank you!"
1548,2025-08-06 11:11,2. raising and will call capital early in 2026. 3. GP already formed 4. yes. 5. no tax services or fatca crs
923,2025-08-06 12:17,"Thanks , unsure if the EL attached to the opp is the latest version, but if fund II is raising shouldn't the start date be effective date rather than 10/01? If they are still going to start calling capital in 2026 then we could only bill that fund in 2026"
1548,2025-08-06 12:43,This is the correct el. We can confirm these points in the weekly kick off call
923,2025-08-07 15:44,"Hi team. I know we have a weekly sync in place with Supernode on Wed, but as it was already signed we are ready to kick-off! *Onboarding rep*: *Opportunity*: < and < *Entities to be onboarded:* • < Global Ventures LP> • < Global Ventures GP> • < Global Ventures II LP> • < Global Ventures II GP> *Context I collected from the last meeting with them:* • RR Migration from Apex. Major client's concern is about data migration and our capacity to have everything in place • Apex currently owns the bank account for their Fund and they will need to open a new one. Onboarding can request YTD bank statements and will only have access to the new bank account ( they decided EQM, right?) • They have quarterly capital calls from a single investor. They will have one in October so we need to prepare the field to assist. • They are coming from a Q4 2025 reporting with Carta. Which means onboarding must be reconciled through 30/09/2025. I don't trust Apex will have quarterly data to share, but we must explore what preliminary info they have. *Things to Clarify:* • Most important thing for me is the level of activity fund II has. We scoped as raising, stating they would have the first capital call in 2026, but there are some inconsistent information about it across different resources. In Tactyc, they set fund II as starting in 2024, so we need to clarify with the client what's the expectations are on this. If they are indeed brand new, this piece of the onboading will be moved to *Next steps:* ** as we know the client already, we need to send a kick-off email in a same structure we sent to Basinghall please. Please let me know when you have the draft so we can review together. The email should include: a. The document request list (attached) b. The onboarding preview (attached) c. The google sheets onboarding tracker and timeline (using Basinghall template) d. Box folder link to upload docs e. Offering of a call before Wed if that's their interest From there we can kick-off the onboarding and start to move forward to next pieces. Thank you!"
1485,2025-08-08 08:23,"_Apex currently owns the bank account for their Fund and they will need to open a new one. Onboarding can request YTD bank statements and will only have access to the new bank account ( they decided EQM, right?)_ – any new news with regards to confirmation of bank account?"
1485,2025-08-08 08:24,We discussed banking on the kick-off call but I don’t think we specifically received a confirmation.
1548,2025-08-08 12:08,no updates on banking yet
1496,2025-08-08 13:46,"Hi Team! With the good news of Supernode signing the EL, we have now sent the kick-off email < to kickstart the onboarding process! Thanks to all involved for getting this over the line cc:"
923,2025-08-12 15:19,"FYI , are you good with crediting the informed invoice to do the requested split? cc:"
1236,2025-08-12 15:42,"Hi Renan, the EL is with Supernode Global Ltd and this is what we are invoicing. We do not have a details of the funds. If the client require specific arrangement then this should be included in the EL"
1236,2025-08-12 15:55,do you have the billings details for each separate invoice?
1496,2025-08-13 10:12,"Hi All, had a good intro call with Supernode today. We were able to outline the document collection timeline and process effectively. • Abbi has raised some questions she has asked about the invoices < and the KYC name issue < • Abbi will Intro us to Apex hopefully by end of today. They have a finance and admin team who will be the main point of contacts for document collection • Abbi has informed us to be direct in the request to either the Finance team or Admin team for document collection or else it will get missed • She has also requested that we use different email threads with different specific topics rather than responding with several topics on one email thread • Fund II is relatively new and Abbi will be able to answer most questions we have on this • Fund I was formed and managed before Abbi joined Supernode. She has also raised that there may be questionable entries in Fund I (particularly around management fees) and that she tried to make sense of it all. She also does not want this to stop or delay the migration process"
1496,2025-08-13 10:13,"If there is anything which I have missed, feel free to add"
923,2025-08-13 10:16,"Thanks ! curious on why we scoped fund II as raising and kept in a separate opportunity if the fund is already active and had their capital call in 2022. Technically this one is a RR even though they still on the investment period. Funds don't need to have completed their last close to be treated as RR. They can still be open to receive new investors, but if they already had capital call and are operating they should be charged upfront. Was it part of the fee negotiation with the client or just a misunderstood on our side? cc:"
1548,2025-08-13 10:19,it was news to me . can also confirm that we were told that this fund was still raising. Either way its good news as we can mark that as CW
406,2025-08-13 10:49,Sounds like it is still raising but not new raising (ie they’ve done cap calls)?
1485,2025-08-13 10:55,"– echoing in that the new fund was presented as a fresh one, whereas the previous fund was already live."
1548,2025-08-13 10:55,still good to CW now though hopefully
1496,2025-08-14 11:59,"Hi team, Supernode's current banking is with Apex but want to leave as they have limited access to bank and want us to intro them to banking partners. would you be able to refer to them with bank options? cc:"
406,2025-08-14 12:14,cc as Hugo is on pat leave
923,2025-08-14 12:22,On our call yesterday you mentioned one option that seemed fine for the client can you add this on the discussion here please?
1548,2025-08-14 13:14,thanks- I definitely want this to be referred to Alpha group please . Can you message James Ross from Alpha to Abbi? Had a great meeting with them on Weds <mailto:Jamesross@alphagroup.com|Jamesross@alphagroup.com>
1485,2025-08-14 13:57,Sounds good.
1485,2025-08-14 14:22,• Sent email to James Ross/AlphaFX introducing Abbi Dangerfield/Supernode Global on behalf of <mailto:edward.beale@carta.com|Edward Beale>.
1548,2025-08-14 15:27,Thanks have alerted James to get on this today
923,2025-08-14 15:27,Thanks team!!
1485,2025-08-14 15:29,– *Centtrip* alumni doing good work.
923,2025-08-14 17:03,"Hi team, just checking about it: 1. Is Supernode Fund II opp good to be closed won? Is there any negotiation with the client that this would not be closed upfront? Wondering if you could simply move that to CW or have a chat with the client about it first if it was told different to her 2. She also told us on the call that there is only 1 GP. The second GP she will think on doing in a later date but not now. I can see on the EL we are charging fund admin fees for 2 GPs, although one of them does not exists. 3. The EL has a formations product for 1 GP. Are we on the hook to form the second GP they will create afterwards?"
406,2025-08-14 18:39,are you able to opine in absence?
1485,2025-08-15 10:45,– my understanding is “_yes_” but – thoughts here?
923,2025-08-15 10:56,Thanks ! Yes about what specifically?
1485,2025-08-15 10:59,– what do we think here?
1485,2025-08-15 14:36,– touched based with on this. • 1) Yes; • 2/3) We quoted/contracted for one GP formation.
923,2025-08-15 16:00,Thanks for supporting here ! Their GP 1 is ltd so are they expecting us to form a Ltd for the GP 2? Which scope of services are we following for this? cc:
1485,2025-08-15 16:14,"Looking on Companies House, it appears that there is a one-to-one relationship between GP and PFLP."
