u,t,m
1007,2026-01-23 23:58,Hi ! Creating this channel to centralize threads around multi-currency support. could you helps identify a real customer cap table account with 1 currency? is running a spike and a real-life example would be very helpful
1007,2026-01-24 00:17,got this one from ! <
1949,2026-01-28 16:49,"Hey team, and I chatted with today. We got the following information about the PE Val update flow: • The Val Update flow for PE firms is enabled per-firm, per-company after the cap table and waterfall are added on carta. • Then the PE firm is able to update their own vals. The flow currently only supports USD. We're trying to determine if it's feasible to make an update to support our International funds. The main reason we can't use this today is the lack of multi-currency support on the core cap table. The other issue is the backlog of waterfall creation in implementations I chatted with about the feasibility of enabling multi-currency support for the flow. He wants to get confirmation on which cases we're trying to handle: • The entire cap table is in a single non-USD currency • The cap table of the portco is a different currency from the investment firm • The cap table of the portco contains assets in multiple currencies Can I get a confirmation on our assumptions here, then examples of which problems we're trying to solve? The main goal right now is to scope feasibility"
945,2026-01-28 16:59,So my assumption here is 1 and 2. But tbh I think we need real life examples. can we pull examples from sales Or alternatively lets do some discovery here.
427,2026-01-28 17:01,Looping in - could you share examples of prospects that would require any of the following: > • The entire cap table is in a single non-USD currency > • The cap table of the portco is a different currency from the investment firm > • The cap table of the portco contains assets in multiple currencies For context: we are trying to understand what use cases we need to support for international in the Valuations product
416,2026-01-28 17:03,Agree with my sense is it is 1 and 2
945,2026-01-28 17:05,"But also can we ask and what they see on the captable side, do they see number 3 on the captable?"
406,2026-01-28 17:05,"Yes, 1 and 2 is what we've seen to date. We have a live opp right now, Finch Capital (€1B AUM firm), that's looking at us for Vals + FA."
1228,2026-01-28 17:09,We see 3 on the cap table side especially in Europe
945,2026-01-28 18:04,do you think can get some time with them to get into specifics?
406,2026-01-28 20:27,Sure. is supporting on the deal atm
1007,2026-01-28 20:44,"It'd be great if I could join ’s call with them. If timezones make it difficult, I can watch a recording."
1007,2026-01-28 20:48,"for context, shared Finch's valuation spreadsheet with me, so we have a baseline of what they are looking for. I'll review it with Jordan and share our findings here early next week. Separately, our eng team is running a spike on multi-currency and we'll share our findings with this group tomorrow."
427,2026-01-29 13:52,"has another prospect, Talis - he is speaking with them this week and will get more details"
71,2026-01-29 13:54,"Talis was shown a demo of our SS Vals tool, and they really liked it. I will find out their currency nuances based on what shared with me"
206,2026-01-29 14:19,Would love to join these calls as well please (or watch the recordings)
756,2026-02-05 21:37,I think by end of February we should have few Intl Corps migrated to Core with multi-currency valuations right?
375,2026-02-06 12:46,"Correct - these are companies that operate across jurisdictions, and often require that valuations be reported in other currencies than their main ones"
1007,2026-02-12 16:26,"Hi everyone! Quick update on our path to supporting international firms. As we clarify scope, we will keep this group posted. To unblock the active pipeline (including Finch Capital and Talis) and better support global accounts like Warburg and Warren, we’ve aligned on a two-phased approach to solve the non-USD currency problem in Valuations and Waterfalls: *Layer 1: Single-Currency Non-USD Support* ◦ *The Problem:* Firms with portfolio companies that operate in a single currency other than USD (e.g., a EUR-only cap table) currently can’t report effectively. ◦ *The Fix:* Data Collection is aiming to prioritize this by the end of Q1, with *Valuations tackling the logic in early Q2*. ◦ *The Result:* Firms can request data in local currencies and systematically convert it to their reporting currency (USD) directly in the platform. This is the #1 request from our international prospects. *Layer 2: Multi-Currency Cap Tables (Future/Out of Scope)* Complex companies that raise cash in multiple different currencies simultaneously. This is best solved at the Cap Table layer rather than within the Valuations engine. To stay focused on the immediate revenue opportunity, we are keeping this out of scope for the Middle Office team for now. please continue to keep us posted on the use cases you hear from prospects, as well as any strategic deal timelines. We can always review them case by case. cc:"
945,2026-02-12 16:27,cc: for EU APAC deals
756,2026-02-12 16:44,For Layer 2: We do have support for ASAs (equivalent to US SAFEs) and I believe it support UK GBP. Not sure of other fund raising scenarios
206,2026-02-12 16:45,what currencies are yall handling at this point?
406,2026-02-12 16:45,"Thanks for the update , so to confirm, for Layer 1 for Valuations, we won't be able to support non-USD fund clients until some time in Q2? cc"
375,2026-02-12 16:48,For Layer 2: We do have support for ASAs (equivalent to US SAFEs) and I believe it support UK GBP. Not sure of other fund raising scenarios ASAs can currently be issued in any currencies
945,2026-02-12 16:48,what does that mean for us for Layer 2?
756,2026-02-12 16:50,"answer from glean on supported captable currencies, do not want to spam the active thread"
756,2026-02-12 16:50,"On *CartaWeb (CW) core cap table*, the supported company/security currencies are the ones defined in `CURRENCY_CHOICES` in `eshares/corporations/constants.py` and used for corporation & security currency fields and issuance flows. *Supported currencies (code – name):* • *AUD* – Australian Dollar • *AMD* – Armenian Dram • *ARS* – Argentine Peso • *BRL* – Brazilian Real • *BGN* – Bulgarian Lev • *CAD* – Canadian Dollar • *CLP* – Chile Peso • *CNY* – Chinese Yuan • *COP* – Colombian Peso • *HRK* – Croatian Kuna • *CZK* – Czech Koruna • *DKK* – Danish Krone • *EUR* – Euro • *HKD* – Hong Kong Dollar • *HUF* – Hungarian Forint • *IDR* – Indonesian Rupiah • *INR* – India Rupee • *ISK* – Iceland Krona • *JPY* – Japanese Yen • *KES* – Kenyan Shilling • *KRW* – South Korean Won • *MXN* – Mexican Peso • *MYR* – Malaysian Ringgit • *MUR* – Mauritian Rupee • *NOK* – Norwegian Krone • *ILS* – New Israeli Shekel • *RON* – New Romanian Leu • *ANG* – Netherlands Antillean Guilder • *NZD* – New Zealand Dollar • *PHP* – Philippines Peso • *PLN* – Polish Zloty • *GBP* – Pound Sterling • *RUB* – Russian Ruble • *SGD* – Singaporean Dollar • *ZAR* – South African Rand • *SAR* – Saudi Riyal • *SEK* – Swedish Krona • *CHF* – Swiss Franc • *THB* – Thai Baht • *AED* – United Arab Emirates Dirham • *USD* – US Dollar • *VND* – Vietnamese Dong"
375,2026-02-12 16:54,"For Layer 2, my understanding is this is mainly about true multi-currency cap table structures (companies raising and issuing equity in multiple currencies simultaneously). What we support today (like ASAs in any currency) works because each instrument itself is single-currency and it doesn’t (yet) require the platform to handle parallel currency logic at the cap table level. For multi-currency cap tables, converting and summing to a single currency comes up once in a while, but has not been a critical need so far, so we're considering it a post-migration project."
945,2026-02-12 16:55,"Leticia, I am a noob here. Are we saying we have some of this functionality already?"
945,2026-02-12 16:55,I don't know what a ASA is
375,2026-02-12 16:59,"ASAs are pretty much the UK SAFEs What we do support already is issuing, tracking and reporting on multiple currencies. Where we want to get is to a multi to single state, where we are able to automatically convert values into a single chosen currency, like we currently do on Carta EU."
375,2026-02-12 17:04,"I'm not sure what the expectation or end game for layer 2 is, but I'd say we've already started to solve the problem."
1007,2026-02-12 17:41,"correct, Tom. We will have this as the first project for Q2, but unlikely to be completed in Q1. Thanks for the update , so to confirm, for Layer 1 for Valuations, we won't be able to support non-USD fund clients until some time in Q2?"
102,2026-02-12 21:39,"in the dozen of Portfolio Valuations customers we have today, we learned that they want to do a POC with part of their portfolio first, and it takes a while for us to set up cap table + WF, which are needed for Val. We already support multi-currency on cap table. So I think we should start selling today. By the time they come and we onboard them, we'll be ready. Also even today’s paid customers have multi currency needs, but we sold the deals anyway"
415,2026-02-12 21:55,We are front sell the capabilities as it’s in the RD roadmap.
71,2026-02-16 08:41,"Thank you . I was OOO last week so apologies if these clarifications have been made. But by EOQ, we will be able to handle any currency where investments and cap tables are also in that currency? All others will be Q2?"
71,2026-02-16 14:38,"- I just connected with Aleph, who is an Israeli firm that we are now engaged with for Software FA. They are asking about self service vals (and full service if needed), and our ability to handle it. They leverage an external firm right now to handle their valuations. I have 4 sample reports that I am sharing here. Can you please take a look at these, and let me know if this is something self-service vals can handle? I'm also happo to post in if more applicable: 1. Coralogix, was a new round with a lot of layers in the cap table 2. Covenant is the same idea as Coralogix but with a smaller cap table (less layers) 3. Simply was a case that we generated a multiple calculation in-house which gave us an equity value of 850M, the valuator calculated the value of each of the share-classes we own accordingly 4. RiseUp is also an example of a valuation based on an equity value we gave the program but it was a decrease in value as apposed to Simply which was an increase \"
96,2026-02-16 14:59,"Pati was saying that single-non USD currency support for Valuations will be early Q2, Data collection side (Financials/KPIs) will likely have that done end of q1/early q2"
71,2026-02-16 15:03,got it. ok thank you
71,2026-02-16 15:10,"I suppose then, the question is for the Finch sheet that I shared with - is this something we can do for them? Sounds like we are far away from being able to support Talis's valuations given some of their multi-currency complexities. But if finch says everything is all single currency, are we good to proceed?"
71,2026-02-16 15:11,"Most of these FA deals are led by their need to fix vals, so likely will see a delay in the FA opps for Finch and Talis"
1007,2026-02-16 21:03,"Thanks for sharing these, . I've opened a thread with Tom Miller, let's see who on his team can help review these."
1007,2026-02-17 18:04,"Correct, . I also shared Finch's valuation spreadsheet with Tom Miller on our separate thread, so we can review that one in more detail. Also, I want to clarify the two layers of the multi currency problem I described on < document>: *Layer 1: Single-Currency non-USD Cap Tables* • Firm invests on portcos with a clean, one-currency cap table (e.g., everything is in EUR). Our platform currently defaults to USD for valuations. This means a firm looking at a EUR-based portco has to manually convert numbers to see their USD reporting value. We are fixing this early in Q2. The source data remains simple (one currency), but we will allow the firm to view and report that data in their preferred currency. *Layer 2: Multi-Currency Cap Tables* • Firm invests in portcos with complex cap tables. They might have raised a Seed round in GBP and a Series A in USD. Their cap table is a ""mixed bag"" of currencies. We don't have a timeline for this fix yet. *Re: Talis* Does any single portco in their portfolio have a cap table with more than one currency? If Talis has 10 companies, and each company uses only one currency (even if they are all different), that is Layer 1."
101,2026-02-18 21:21,"Hi , I set up time tomorrow to talk about phase 2 (and phase 1B) on the < valuations proposal > With 2 big prospects ($500k - Talis Finch Capital; $250k - Aleph FA SaaS) and 1 large existing customer asking about this feature, I wanted to confirm what you might need from cap table teams and when Thanks cc"
616,2026-02-18 21:21,related to the slack Jeff and Edwin sent
1007,2026-02-18 21:28,"SG, I will be there. can you please confirm with Talis and Finch that each of their investment cap tables are in a single non-USD currency?"
71,2026-02-18 21:29,"For Talis, this is not the case. They are multi-currency. For Finch, I am waiting on a response"
1007,2026-02-18 21:50,"for context: I just connected with Cody and confirmed that 90% of Talis' investments fall into the layer 1 category (single non-USD cap table). Cody believes there's a path forward for the deal since we want to support these cases in Q2. Then, Layer 2 (multi currency cap tables) would be a dependency for the remaining 10%"
71,2026-02-18 21:51,Thank you !!!
891,2026-02-18 23:58,Are the two prospect customers want to use our Portfolio Valuation product or other products?
1007,2026-02-19 19:58,", I'm looking for some RD discovery help regarding non-USD support. To help us design the right product solution, could you provide some insight into how prospects currently handle currency conversions? Specifically: • *Standardization:* Are conversions standardized across different Valuations? • *Timing/Policy:* Do these firms have a set policy for _when_ the conversion occurs (e.g., as of today, as of the valuation date, or as of the investment date)? Any context you can share on their current manual workflows would be huge! cc:"
101,2026-02-19 20:09,"thanks and for talking that through sounds good for next steps to be: 1. Pati work with Sales to get more info on what the prospects need 2. Let cap table team know what you need and currently it looks like the investor is the stakeholder that cares about conversion and the rate, so the company admin will not need to provide info. so after the feedback, we can determine if Carta should build the currency conversion technical infrastructure at the cap table data level or at the valuations data level"
71,2026-02-19 20:16,"- These are VC funds, who are looking to use our valuations software for companies in their portfolio. These valuations are for the fund exclusively and to support audit"
1045,2026-02-19 21:24,"suppose the fund uses one currency and the portco uses another as their ""base"" currency Which of these best matches how the investors would approach this? 1. Perform the valuation using the portco's currency and only convert the relevant outputs 2. Convert all inputs into the fund's currency perform the entire valuation calculation in the fund's currency As an example, suppose I'm a UK fund reporting in GBP and I'm invested in a Germany company whose cap table is exclusively in EUR. Those cases correspond to: 1. I perform the entire valuation in EUR and get a holdings value of 10M€, then I convert that into £6M when I need to report in pounds 2. I convert all rights and preferences, debt, etc to pounds, perform the valuation as-if the cap table were in pounds, and come to a holdings value of £6M."
71,2026-02-19 21:26,I would have to check on that
71,2026-02-19 21:26,Happy to ask them
71,2026-02-20 11:54,"all good questions that I can try to get answers on in future calls. As we spoke about, I'm happy to invite you to a few as they book. My assumption is there will be 2-3 in the coming 2 weeks"
1432,2026-02-24 21:38,"Hi team - I'm working with on enabling non-US currency in Data Collection and would like to get some insights from the group. In Phase1A, is this statement accurate that ""firms would want to instruct portfolio companies to report their financials and KPIs in the same currency as that used for the funds’ SOI""? E.g. the fund's SOI is in EUR, a US portco will see instructions on financial doc upload to provide data in EUR instead cc"
1007,2026-02-24 22:25,"That is my understanding, ."
248,2026-02-24 23:48,"just sync'ed in person with and -- I think the TLDR is in general the best path is to have the companeis report in whatever currency they choose, and then the investor will do the conversion. But in the meantime before we support conversion, then we should support matching SOI and not matching SOI currency."
1432,2026-02-25 14:40,"support matching SOI and not matching SOI currency thanks . Could you elaborate on this? Not sure I understand the difference. Does SOI support multiple currencies? Currently, each fund requires a single currency to be set during initial setup, which I assume specifies the SOI currency for the fund."
71,2026-02-25 21:50,"- I spoke with Talis today, and delivered an engagement proposal. We also spoke about our valuations capabilities now and what is on the roadmap. She was pleased with the fact that we would be able to support instances like we spoke about, where the fund reports in GBP and makes an investment in EUR, and was completely understanding about instances where the cap table is multi-currency. She actually said she may have been wrong, and they may not have any investments with that multi-faceted criteria. Onboarding will likely not be until Q3 as an FYI. I will let you know if they have any questions, but for now all is good. Thank you and everyone else here on the team working on this for all of your support, and work on multi-currency vals!"
1007,2026-02-25 21:59,"Great news - glad we have a path forward with Talis! Thank you, Cody"
71,2026-02-25 22:03,"yea, now we just need to hope that we win the deal!!!!"
96,2026-02-25 22:04,lets get it - thanks for the update Cody and Pati. let us know how we can help it keep moving forward
71,2026-02-25 22:05,Will do. Thanks !
248,2026-02-26 18:19,"No no, just saying we shouldn't limit the currency the investor selects per portco to only be the SOI currency. It could match, or it could not, we shouldn't limit."
1432,2026-02-26 18:28,got it. thanks!
440,2026-02-26 22:02,"hi team, I was the one pushing back on the designs Fiona shared with the copy that urges companies to upload their financials in USD. I don't think it's common for companies to report their financials in their non-base currency, and they probably won't do it. And my worry was we would set a false expectation with the investors that numbers were in USD. I messaged Charly to see if he would respond to a request that asked for a different currency just to validate my assumption and here's what he said: <"
248,2026-02-27 05:14,"totally fair -- here's what we're trying to solve for/what we're hearing: 1. We currently don't support non-USD currency for financials/KPIs, which blocks us from: a. Upgrading international fund forecasting customers from KPI Manager to CDC b. Supporting international PE firms who have companies who report in multiple currencies 2. The intention here isn't for the investor to pick a random currency/their favored currency and force the portco to report in that currency. The goal is that we need to *set* the currency that the portco is going to report in, and make it clear to the investment firm user that all the financials/KPIs from that portco are in that currency. 3. Since we already have a firm-side setting for currency that is currently staff only, my thinking was for a quick and easy way to unblock #1, we should do the 10% more work to make it non staff only (I think it previously actually was GA and then maybe inadvertently was hidden?) and available to firms. a. Again, goal here isn't that the firm picks any currency that they want their portcos to report in, just that they set the *normal reporting currency* the portco typically reports in. If there is a discrepancy between what the investor sets and what the company thinks they should provide, that's up to the investor/portco to have that conversation and agree on reporting currency. 4. This is all phase 1! As phase 2, across middle office (including valuations) we ned to support currency conversions, which would allow the portco to report in any currency, and the investor to convert if/when they want to. This is likely a Q2 project, so truly phase 1 is an interim approach to unblock rather than any kind of end solution. 5. All to say, I don't ever think any investor would ask Charly to report in a nonUSD currency. Especially since Carta reports in USD, which is the standard. Where I've heard cases of there being more nuance with currency may be that a Amsterdam based company has a GBP cap table & investors, and the investors in London want them to report in GBP (and the Amsterdam based company is already doing so). Let me know any follow up q's - happy to chat more!"
440,2026-02-27 16:57,"thank you for this - super helpful, especially the clarity around #3a! to play back, we're not asking every portco to report in USD, but allowing a setting for the investors to pick the reporting currency. So to your example in 5, this investor will pick GBP as the currency for that portco to report in, not just default them to USD."
1432,2026-02-27 16:59,"Thanks for clarification! More accurately I think we want to ""allowing a setting for the investors to pick the ~reporting~ display currency"" as we don't enforce that on portcos"
248,2026-02-27 17:01,"yes ! exactly - I still think it's the reporting currency, since we wouldn't want a portco to upload in euros but then have the investor display the data in GBP. We, of course don't have any specific way of enforcing this, but I think by calling it ""reporting currency"" we make clear it's the currency in which the portco reports."
102,2026-03-11 00:14,let’s discuss implementation for EQT here
248,2026-03-11 00:28,"FYI we are working on implementing non-USD currency support for financials KPIs - think these are parallel processes, but as part of that work we are enabling a firm-side currency setting that gets disabled if/when the company (via data collection) sets their reporting currency. Designs < This setting is agnostic of cap table currency setting."
102,2026-03-11 03:54,"thanks, agree it's a separate currency setting. Is your change only to the Financials KPIs tab? I won't touch that one but will go through all the other tabs."
248,2026-03-11 04:07,"Yes our change is only to financials KPI tab as well as Data Collection flow. One place that we will want to call this currency is KPI/financial columns on Investments page. I believe it should update with the work we are doing, but will be part of our testing."
248,2026-03-11 04:08,"For LLC NG companies, we're adding an FA-side currency setting for the PortCo. THIS IS A HACK that'll only make the investor-side experience work correctly, and let's us do it quickly without adding full support to multi-currency on LLC NG. Our portco currency setting for financials/KPIs will be for LLCs as well as core."
