u,t,m
184,2025-10-10 23:22,Space for MO engineers to collaborate
184,2025-10-14 20:57,"Hey and — Middle Office's 1st vibe coding session is this Friday, October 17th. You both are planning to take us through ai-artifacts, Claude plugins/marketplace, etc. When you have a plan in mind, could you drop the overview here for us to review?"
276,2025-10-14 21:05,"Perfect timing! Victor and I just finished chatting about the plan for the week for implementing a marketplace and how it relates to the current ai artifacts repo. Recapping from the anthropic session this morning just so we're all on the same page: • a marketplace is where we host all our plugins • a plugin can consist of one or more of the following: commands, MCPs, hooks, agents and is defined by a plugin manifest"
276,2025-10-14 21:18,"So Victor has already setup a < repo> that we will use for the demo this week. After discussing today, we agreed that it's best to keep the original < as is. It will serve as a place for devs to dump trial commands, agents, etc that we may eventually decide to migrate to the marketplace. Carta marketplace will be where we establish more deterministic Carta wide plugins that all devs should use. For example, we could create a plugin called `/feature-dev` to standardize how claude fetches a JIRA ticket, creates a plan, checkouts a branch, begins and commits dev changes to github. This should behave mostly the same each time and should follow the same guidelines no matter who uses the plugin."
77,2025-10-14 21:23,"exactly! for Friday we wanna get examples of MCPs, commands, and hook on the repo for engineers as examples interactive part of the session can be working on porting an existing command to the new repo or pair up to build something new and open a PR"
184,2025-10-15 15:01,"Sounds great both! The session is 1 hour long, so pace yourselves accordingly. Ruchita and I may do a short intro before handing off to yall."
184,2025-10-16 18:16,"Victor, will you be running the session tomorrow or ? cc"
77,2025-10-16 18:16,"and I are running it together. we'll go over the setup, examples and a more hands-on part of the session"
184,2025-10-16 18:17,Ok got it. Ruchita and I will open the session to set some context
77,2025-10-16 18:18,perfect! thank you
257,2025-10-17 16:21,", are we able to rename this channel to *middle-office-vibe-team instead?* so that all the AI champions can discuss/plan their sessions."
257,2025-10-17 19:55,"Team, lets use this channel for the broader discussion with the middle office engineers."
184,2025-10-20 20:37,Added a tab for < of sessions> on the existing sheet with the upcoming sessions: • Plugins continuation 10/24/2025 Victor Landeira Vijay Sudharshan • Improving Context 10/31/2025 Scott Kenealy Tzuan Wang
77,2025-10-22 23:19,any topics you wanna include on this Friday's session? Im gonna start working on the messaging / new slides using the same presentation
257,2025-10-23 16:05,", we should probably do a working session this Friday and go over the tasks that you had planned for the team to try themselves."
276,2025-10-23 16:06,"Totally missed this, I am thinking that we should have folks resume a conversation from a previous task they used claude for and have it spit out a skill from that and then we can create a plugin from that"
77,2025-10-23 17:09,"agreed, my plan is a quick recap + a few more slides on skills + hands-on"
184,2025-10-24 16:56,Is there any prep work for the group?
942,2025-10-27 16:27,"Hi all, do we have the recordings available for the team?"
941,2025-10-29 21:53,thread for Friday's session
941,2025-10-29 21:58,"Tentative agenda from what we discussed last week: • 10 minutes - knowledge in the model, knowledge in the context, knowledge in the world, etc. Why Claude shouldn't generate a claude.md • 15 minutes - Claude.md resolution, why we shouldn't just have a single massive Claude.md, at the top-level, and how the model knows how to use tools to get knowledge into context • 15 minutes - ""scavenger hunt"" - using a prepped CW branch, play a game where folks use Claude to find the data. • Remainder - have teams put together draft Claude.mds for specific domains. lmk if you want to change anything and which of these you want to take point on."
941,2025-10-29 23:14,I wonder if we can have Claude build us the scavenger hunt
942,2025-10-29 23:53,"Great summary/breakdown and happy to help support the session as you see fit. Would suggest you taking point in anchoring us with key objectives and why this is so important. One thought to add above is how we measure efficacy: perhaps before and after snapshots of /cost and /context, esp for the scavenger hunt. We will also need to measure how relevant is the data scavenged"
184,2025-10-30 17:15,"Hey AI champions — Here's what we need to focus on for next week's session: _We want to use *next week*'s vibe coding sessions to remind and reinforce what the best practices are we should be using with Claude to succeed specifically on refactoring-esque work._ _The goal is not *just* to get people using Claude in this way. We also want to *genuinely improve our codebase* to make it easier for us, and for Claude, to work in that code going forward. As such, this contest wants to recognize *outcome* and not *experimentation*, so we'll be pressing people to prioritize *completing work*, even *small changes,* over *incomplete giant changes.* (Contest judging methods/criteria aren't clear yet, but certainly one factor will be whether the changes have merged already, or how certain we are they will be merged.) Fortunately, the best way to accomplish substantial refactoring with Claude Code is to break the problems down into small completable changes anyways. In next week's vibe coding sessions, let's reiterate that point to folks and show them how best to leverage Claude to do that. This is substantially more important in refactoring work over net-new work, because Claude can demand a far smaller set of context to get the job done. Small increases in scope demand dramatically larger understanding of the existing code._ _We should also recap the current best practices with Claude's feature set beyond the REPL:_ • _How Sub-agents help_ • _How Skills help_ • _Specific first- and third-party plugins (e.g. < context7)_"
184,2025-10-30 17:15,"Suggested agenda: 1. _Strong emphasis on turning refactoring work into sub-problems, and then turning sub-problems to sub-sub-problems_ 2. _Overview on Claude features practices enumerated above_ 3. _Reminder on current meta (maybe reshare link to Dowdell's recent slides) for using them well_ 4. _Remind folks of their responsibility to verify and review their own code before PRs get opened. They should spend *more* time reviewing their own code than their eventual PR approver will._ 5. _Coding Time (maybe break out, maybe don't)_ a. _Help folks get Hello World skills/subagents/plugins running_ b. _Let people work on a bite size refactoring of their choosing_ 6. _Optional shareouts of progress or struggles_"
184,2025-10-30 18:15,Is the idea to understand how to manage context better by structuring Claude.md files better? cc
941,2025-10-30 18:18,"The thing that kind of prompted this was that folks were using Claude to generate Claude.md files. That's not _completely_ a bad idea, because it does summarize data claude could find with extra effort, but the idea is more Claude.md is meant to focus on knowledge that can't be easily figured out"
257,2025-10-30 19:36,I would love us to give some guidance on how to write an *effective Claude.md* file that has the required guard rails for the teams to consider for their respective domains?
257,2025-10-30 19:37,"if y'all agree, give some time for the teams to go back and write them and do a S&T on each of their Claude.md files for future sessions."
184,2025-10-30 19:42,"If we do a ST around this, it would be good to show the impact of an ""ok"" claude.md file vs. a ""great"" one. Maybe we can select 2-3 top claude.md to do the demoes. WDYT?"
941,2025-10-30 19:50,"the guidance is part of the convo. I'm not following the ST question, are you suggesting that sometime in November some teams present at the wednesday session?"
941,2025-10-30 19:50,Here's a very rough draft of what I was going to go over <
941,2025-10-30 19:51,```### GOOD Examples (these should load when relevant) - `business-domain-facts.md` - Domain-specific business rules - `team-conventions.md` - Team patterns and conventions - `deployment-gotchas.md` - Operational knowledge ### EDGE CASES (demonstrate limitations) - `too-generic.md` - Generic info Claude already knows - `too-specific.md` - Hyper-specific details that rarely match - `wrong-topic.md` - Unrelated topics (React Native vs web app) ### REDUNDANT (Claude doesn't need these) - `python-basics.md` - Programming fundamentals - `public-api-docs.md` - Publicly available documentation - `code-that-exists.md` - Code that tools can find```
257,2025-10-30 19:54,"my bad, I should have clarified my S&T, I used it more like a *verb* .. as in have the teams come back again in subsequent MO vibe coding session [our regular friday programming] and present their Claude.md files so that we all can learn from each other."
941,2025-10-30 19:56,We could do that
184,2025-10-30 19:56,"Oh ok, thanks for clarifying"
257,2025-10-30 19:56,"sorry, short hand sucks!"
184,2025-10-30 19:56,At some point we should bring our peeps to Carta S&T to show the cool stuff we're learning as well
257,2025-10-30 19:57,"happy accident yeah, i would be open to that as well"
257,2025-11-05 18:04,do we feel prepared for this Friday's session based on the agenda above?
184,2025-11-05 18:08,"we have a part 2 from the previous session that yall wanted to complete first, correct?"
942,2025-11-05 18:47,I'm open to skipping part 2 from previous session if more time is needed. Scott's part was essential in understanding memory and my part was to provide more discussion points around when to use skills vs memory and then breakout into teams to implement their respective claude.mds (memory).
942,2025-11-05 18:49,"The skills/sub-agents deep dive requires a ""skilled"" practitioner to guide the session. Im barely just starting to set that up myself and wouldn't be able to drive the session on Sub-agents/skills yet"
257,2025-11-05 19:08,", what was the planned part 2?"
184,2025-11-05 19:20,"Hey folks, and I chatted and we're pulling a few of us together to *plan for the session this Friday, Nov 7th on the `Refactor w/ Claude` topic*"
276,2025-11-06 02:14,Shared these slides for friday's sessions to folks: <
276,2025-11-06 02:21,"As per our sync today, , , , and myself will be hosting different topics in the breakout rooms for folks to join and walk through an exercise of how to refactor code. Ask here is that each of the breakout room hosts fill out < 6> so folks can join the room that makes the most sense for their respective refactoring projects. Goal is to get the middle office eng ready for the refactor hackathon by being able to define agents that help them with a specific task. I'm planning to walk through a refactor of an overloaded UI component and define a new agent with the group to help me with this. If y'all have any questions, please join the sync tomorrow at 11am PST / 2pm EST. Happy to answer any questions async as well! cc."
276,2025-11-06 02:22,"sorry Hernan and Victor, we volunteered y'all"
184,2025-11-06 02:22,Thanks for putting this together Vijay!
257,2025-11-06 19:43,Incase we need help with mcp for datadog. these folks can help you -
77,2025-11-07 23:41,"We mentioned the office hours for Monday and I'll send out the calendar invite if we haven't already the idea is to be there to support them with their contest projects, no content and be there to help with questions and blockers"
77,2025-11-07 23:55,anything you guys wanna present / add on the Skills side? i know it's a hot topic
942,2025-11-08 00:18,"Oof, Im out on Monday but if you guys cover skills/agents/etc, please record"
276,2025-11-10 16:00,"Quick check, are we doing office hours today?"
77,2025-11-10 17:32,I think so Cc:
257,2025-11-10 18:05,are we okay to do 11-12am PST?
257,2025-11-10 18:08,done. invites sent
77,2025-11-10 18:34,i have a conflicting meeting but can join for the last half
276,2025-11-12 17:31,"Howdy team! I have formalized the dev workflow I follow for < and < into plugins. At a high level this is what the plugin is doing: 1. hook on initial submit to load all skills and agents metadata into memory 2. hook on initial submit to checkout master/main, pull master, checkout a new branch using JIRA ticket number 3. pull ticket context and begin working on ticket dedicating work to sub-agents (includes dev work agents and testing agents) a. this is the only non-deterministic step b. moving forward, this is where i am spending the most time. Making sure my subagent stays current is a challenge 4. hook to run linting and build commands, failures trigger agent to rework solution 5. hook to commit and push the initial PR"
276,2025-11-12 17:33,"I've tested the FEP plugin twice now in a < PR> and a < improvement PR>. Both have been tested in a test box and work as expected. Requesting some help for folks to try out the plugins themselves and see if it behaves according to the above flow. The main thing with the plugins to note is: there are no agents defined in them. The thinking here is, this is a development workflow plugin and the business logic that gets handled by claude should be delegated to specific agents. The reason to not bundle any agents is that different teams have different agent requirements and again we want agents to be domain specific. So part of this exercise is that you should define your own agents for the domains you primarily work in"
276,2025-11-12 17:35,Let me know if this is a good exercise to share with the larger group!
184,2025-11-12 20:45,"can we rename the standing `Middle Office AI Vibe Coding series` meeting this friday to `Middle Office AI - office hours`, and kill the latter (which also overlaps with Townhall)?"
276,2025-11-19 18:10,also we can cancel office hours this week (and probably future weeks)
184,2025-11-19 18:15,"Agreed, the office hours arent needed anymore this is on your calendar I think"
184,2025-12-02 20:04,Are folks able to join vibe code planning?
276,2025-12-02 20:37,Sorry totally missed it! Able to do it later this afternoon if others can join!
