u,t,m
1082,2025-02-24 20:14,*< Women’s Month Nominations> – Last Week to Submit!* Hola! It’s the final week to nominate the incredible women and allies who inspire us every day! Here’s a sneak peek of what this year’s nominations will look like— You thought I’d share the real ones? Not yet! I’m keeping it fun with a _Mean Girls_ version for now. Get ready for the real deal in March! We’ll be honoring these powerhouse individuals in our channel all month long. *Deadline: February 28* *Nominate up to 5 individuals!* Let’s fill March with love and appreciation for the amazing women and allies who make Carta truly exceptional!
1870,2025-02-25 17:32,They don't even go here!!
522,2025-02-26 16:17,"Good Morning Everyone! We want to make you aware that Slack is currently experiencing technical issues that may impact all users. Slack's team is aware of the problem and is actively investigating to resolve it as soon as possible. If you encounter any errors or disruptions while using Slack today, please know that this is a widespread issue on their end. We will provide updates as soon as more information becomes available. Thank you for your patience and understanding!"
1871,2025-02-26 19:29,Hey Quinn is slack back ?
522,2025-02-26 20:02,"Hi Felipe! It looks like Slack still has ongoing issues unfortunately. I just did a refresh and its still showing issues, its going to be 50/50 with what users are experiencing. Some might be able to send messages while others can't."
470,2025-03-14 22:50,In case anyone was interested - this is the Salesforce slide mentioned during Town Hall today. Two things that never lie; multi-product SaaS and the 80/20 principle!
527,2025-03-17 18:47,Hi All - Some employees have reported issues getting into Workday - I am going to report the issue as their current data center status is still green for us. Stay tuned as we hope Workday will get us back online shortly!
527,2025-03-17 20:04,Workday should be back up now!
228,2025-03-24 23:52,"Team! What a glorious day to announce our freshest set of data for < Fund Performance> went live this morning. Here's the rundown: • This report covers fund performance (IRR, TVPI, DPI) for 2,079 US funds using Carta • Funds from $1M-$1B are included but the main concentration is under $100M • We broke out the top decile (or 90th percentile, if you prefer) for the first time. So you can really see ""how are the *best* funds performing"" Available for any questions, but please spread the good word widely!"
1417,2025-04-15 17:53,Hi everyone. Ethena is currently experiencing an outage. We’ll keep you updated and let you know as soon as it’s resolved. Thanks!
1417,2025-04-15 20:18,"Hi everyone, the earlier outage with Ethena has been resolved. You should now be able to log in without any issues. Thanks for your patience! Let us know if you continue to experience any problems."
973,2025-04-16 19:33,Zoom is down for multiple people
1624,2025-04-16 19:34,looks like partial outage on the meetings side
973,2025-04-16 19:34,Even that website won't load for me
