u,t,m
191,2025-01-01 11:02,"Happy New Year! The following tax rate withholding defaults have been updated for 2025 • Social Security Max income-Was $168,600 now $176,100 • Iowa: was 5.7% now 3.8% • Indiana: was 3.05% now 3% • Louisiana: was 4.25% now 3% • Mississippi: was 4.7% now 4.4% • Missouri: was 4.8% now 4.7% • Canada-Prince Edward Island-now 9.5% (assumes subject to 110(1)(d) deduction) We might see updates to North Carolina and West Virginia in the next couple of days for supplemental compensation (I’ll update this thread if so)."
2188,2025-01-02 18:02,Hey ! Wondering if we should include the current default rates in the support articles. Is there an official source to check their state/ withholdings we could refer customers to?
191,2025-01-02 18:25,hi they can download them all out of their tax rules area (there's an export button showing what's in our system at any time) the rules change frequently enough that it might not make sense to include them as static in our support articles-some jurisdictions have mid year changes
191,2025-01-02 18:26,(the export tax rates for all countries button here if done in a prod company)
191,2025-01-02 18:27,or view via the ux in that same screen (they can see our defaults any any overrides they've done)
191,2025-01-03 18:00,"*The tax team has updated tax threshold information for the in-app Exercise Simulator to reflect 2025 values.* Note: This update is different from the tax withholding rate updates we did on Jan 1 2025 and applies exclusively to the Exercise Simulator located in stakeholder portfolios: • The Exercise Simulator now reflects 2025 AMT exemptions, thresholds, and values at which the AMT tax rate increases from 26% to 28% • Federal progressive tax rate structures have been updated for 2025 for all covered taxpayer types in the simulator (Married Filing Jointly, Single, Married Filing Separately, Head of Household). ◦ These are used to approximate the standard tax that tax payers are expected to pay based on inputted income level. This gets compared against AMT calculations to determine the approximate AMT obligation related to a modeled exercise This is live now, and participants using the exercise simulator will see up to date 2025 values and calculations."
191,2025-01-06 17:07,"Some additional updates have been made for 2025: • North Carolina: now 4.25% • South Carolina: now 6.2% • West Virginia: now 4.82% • California Disability-1.2% (increased from 1.1%) • Threshhold for Mass rate change increased to $1,053,750 There were also some minor changes in threshholds/rates for other state's disability insurance (RI as example) or minor adjustment of thresholds for rate increases"
941,2025-01-07 00:34,"Hi team, I’m seeing some consistent failing tests related to form 3922, can someone take a look? <"
191,2025-01-07 00:37,"hi, 3922 was a public markets only form for ESPP that's been deprecated for a while (over a year) cc <!subteam^S02DZBAE5PU|@tax-platform-devs> to look but business wise there are no companies using this tool any more"
941,2025-01-07 00:38,Ok can we skip the test to unblock folks and then follow up by deleting the appropriate code?
191,2025-01-07 00:39,that should work!
952,2025-01-07 00:40,I am working on another PR unrelated to this I can skip the tests in my PR tomorrow.
941,2025-01-07 00:40,Let’s get an isolated one up
941,2025-01-07 00:41,right now it appears folks can’t merge prs if they’re based on a recent master commit because tests are consistently failing
191,2025-01-07 00:41,works for me! as long as this is specific to 3922 (dead feature that was for public ESPPs) and not for 3921 (feature still in high use)-wanted to doublecheck
952,2025-01-07 00:41,Okay creating a PR to skip the tests now.
952,2025-01-07 00:56,could you take a <
952,2025-01-07 00:57,sorry forgot to add. Edited above
941,2025-01-07 00:59,"I think you’re skipping the wrong test, the failing test I’m seeing is `test_send_email_when_form_3922_are_generated`"
941,2025-01-07 00:59,This is skipping `test_send_emails_to_portfolio_owners`
941,2025-01-07 01:00,"Also can you make the comment say that the test is flakey/failing? Normally “not used anymore” isn’t a reason to skip a test, but I do get the context here."
952,2025-01-07 01:00,Let me check again but for me this `test_send_emails_to_portfolio_owners` is the one showing failed <
941,2025-01-07 01:01,"oh gross, looks like a lot of this is failing. I’m seeing this fail here <"
952,2025-01-07 01:04,Ahh is there a way we can see all failed tests?
941,2025-01-07 01:11,I think they’re just flakey
941,2025-01-07 01:12,so they fail sometimes and other times pass
941,2025-01-07 01:12,you could look at to see where it has failed recently
952,2025-01-07 01:12,Should I just skip them all?
941,2025-01-07 01:12,"if the feature is unused and they’re flakey, I think that makes sense"
941,2025-01-07 01:13,and then follow up with removal
952,2025-01-07 01:14,Yes will create the task for removal after this. <!subteam^S02DZBAE5PU|@tax-platform-devs> skipping all the tests from `tests/backend/tax_center/tasks/test_form_3922_tasks.py` since they are randomly failing.
952,2025-01-07 01:41,PR is merged. Thanks !
120,2025-01-08 17:29,"Hi Team - Full access admin from < Labs, Inc> says that the 'United States - California - Disability Insurance Tax' (under California) has a start date of 1/6/25 when it should be 1/1/25. She's having issues approving two exercises that came in between 1/1-1/5. Is this something we can assist in reviewing or let them know we cannot update that (she can't edit that start date on her end)."
191,2025-01-08 19:00,"hi! 1/6/25 is the date that I actually updated the record (the ADP source I use wasn't available when I did the main update on the morning of 1/1/25). Any new transactions will hit that, but the calculations are point in time (we had not updated Cal SDI until 1/6/25). unfortunately that date doesn't drive what is used to calculate the withholding (that was grabbed at the point of exercise entry)"
191,2025-01-08 19:19,they should be able to update the calculation at exercise review step though to reflect the slightly different rate. if taxes end up being slightly higher you might need to temporarily enable allow_raising_taxes_on_exercise
188,2025-01-08 19:24,"And we are generally ok with leaving the allow_raising_taxes_on_exercise enabled, as long as you disclose everything to them (outlined in < card)"
120,2025-01-08 19:26,Thank you both! I had offered this solution when speaking to her but she wanted me to ask first to see if that can be updated so that way she can keep the Tax raise feature disabled and she wouldn't have to do any manual updates. Thank you I will let her know!
120,2025-01-08 22:03,", tagging you here for more context regarding the email from Notion Labs."
1060,2025-01-09 15:54,Thanks . Let me know where I can help out
1209,2025-01-14 19:52,Hey team! How's it going? Want to check with you about < new Sentry error> that is assigned to this team We are currently in the middle of the release and just wanted to check in with you if this is a known issue or really something to worry about. Can you help us here? Thanks in advance!
942,2025-01-14 20:02,I think this is related to the testing of 1099b we were doing with Bryan earlier. The user id implies so but want to get more eyes
276,2025-01-14 20:03,"Nothing to worry about, we were testing large batch fetching for tax statements through a staff tool! good to proceed!"
1209,2025-01-14 20:13,Thank you so much!
260,2025-01-15 19:24,"hi team, I found this thread as it was linked to < issue> I was trying to enable the feature flag for client-side routing in appshell, and we noticed that after the feature flag was enabled in `production` the tabs on `/form-3921` didn't work anymore. The issue was very inconsistent as tabs would work on `test` , `demo` and `local` (though sometimes they didn't work on local too) I did some digging and while I'm not certain I found the root cause - I noticed that the < router component> for `tax-center` will create a new instance of `history` on every new render and I don't think it is an intended use of `Router` + `createBrowserHistory` combo and just a `BrowserRouter` should be used instead. The CSR will potentially have more renders of a top-level component and I wonder if this is what caused the browser history to stop working as the new instances of it were created on every render. I made a < switching the tax-center to `BrowserRouter` instead which fixed the issue on `local`. I will be building the testbox next - is there a set of e2e tests I can run on it to verify the switch didn't break things?"
260,2025-01-15 19:30,"no worries , this is super weird bug Are there e2e tests I can run to verify all works or how it would be best to test it?"
952,2025-01-15 19:34,"I don't think so if we have e2e tests, I might be wrong I think switching between the tabs which were causing issue before would be a good start. any pointers here on how to test this?"
191,2025-01-15 19:36,"^that's been the only way i've been able to replicate it (start on one tab, switch to another and notice that no action takes place until forcing a refresh)"
260,2025-01-15 19:39,while this switch is pretty simple and shouldn't break anything (famous last words) I would make sure the navigation for the whole `tax-center` works as intended. I'll build a box and if you guys can click around between different tabs and routes it would be very helpful
260,2025-01-15 20:03,here's the < with fars override> (please double check the branch version of `tax-center` is loaded). Could you click around and see if you can spot any issues with navigation?
191,2025-01-15 20:36,"testing now, cc if you have time to check too"
191,2025-01-15 20:39,"1. clicking between withholding overview and tax jurisdiction and rates works / no stickiness 2. form 3921-clicking between the 3 top nav menu items- generated forms, stakeholder details, exclude transactions- works/ no stickiness"
1273,2025-01-15 20:52,"It’s weird…followed the < posted by above and after logging in, the page loaded without the Tax Rules banner and without the two tabs: `Withholding overview` and `Tax jurisdictions and rates` . If you go back to cathub and go to Tax Rules, the page loads normally"
260,2025-01-15 20:53,"hmm maybe the link is wrong, I just appended `/tax-center` manually"
191,2025-01-15 20:53,^oh i just hit it from the cat hub
260,2025-01-15 20:55,or maybe it's because it has `?fars-override` in URL params Ie if you go to < is it the same issue?
260,2025-01-15 20:55,(just check that DevTools still show an override)
191,2025-01-15 20:56,^following that link we hit the same issue (no top nav tabs)
191,2025-01-15 20:57,however this url (link from cat hub) works <
260,2025-01-15 20:57,I think it's the same on `test` so I wonder if the URL is wrong <
260,2025-01-16 14:41,thanks for poking around so far. How things are looking otherwise than the above URL issue?
