u,t,m
1917,2025-10-06 10:21,please could you link us the two tickets you create in the new project when you get a chance?
1917,2025-10-06 10:22,Then please could you add estimates to those tickets in story points? When I get a sense of the effort required I'll email Emil/Colin/Phillip so they're all aware of the latest
1038,2025-10-06 12:11,Can this group be combined with ?
1038,2025-10-06 12:11,"Last week I discovered that Carta makes almost no use of serverless infrastructure. Almost all services are deployed on kubernetes. Since we continue to have issues with resource contraints on lambda, I have suggested to that we should try to deploy the portal automation code on kubernetes instead of lambda. This would kill two birds with one stone - remove our resource issues and converge on a likely future deployment target early."
2014,2025-10-06 12:21,I don't see the channel Phillip has referenced
2014,2025-10-06 12:22,Just to note that I'm fully onboard with the idea of migration to kubernetes
2014,2025-10-06 12:23,also < project for the portal automation has been created
1917,2025-10-06 13:08,ok let me archive this channel. We will use the wg-lp-portfolio-analytics-irpa channel
1917,2025-10-06 13:08,I will add you to it if you are not in it already
1917,2025-10-07 16:41,unarchived the channel
1917,2025-10-07 16:43,At Boris' request I have revived this channel. We will have our huddles here.
1917,2025-10-07 16:43,If anyone from Carta needs to be involved please let me know
1917,2025-10-07 16:44,Boris wants to deprecate the ongoing wg-lp-portfolio-analytics-xxxx channels as soon as the corresponding feature has been deployed
2014,2025-10-08 08:29,"Having issues with the develop ci apparently nerdctl a docker compaptible cli for containerd which is not installed on github actions runner, seems like it was added last night?"
2184,2025-10-08 08:45,"Hey guys, sorry I won't be able to attend today's meeting"
2014,2025-10-08 08:54,Any way we can postpone the meeting for today? James is here in Novi Sad and about to give a presentation at the same time as our meeting. Any other time is fine with me.
2184,2025-10-08 08:56,"I'm in the same meeting with james, we should be done in an hour, so maybe 11:30 UTC+1 ?"
2014,2025-10-08 08:59,"Sounds fine to me, just wondering about the rest of the team?"
1038,2025-10-08 09:03,Fine for me
1917,2025-10-08 09:05,"hi team, sorry my last call overran"
1917,2025-10-08 09:06,I'll move this entire series by 30 mins
1038,2025-10-08 09:42,Did I miss the call?
1917,2025-10-08 09:55,I've moved today's call to 4:30
1917,2025-10-08 09:58,"I've kept the daily call tomorrow at 10, since you have a conflict at 10:30. Let's see how 10am daily goes"
2014,2025-10-08 10:07,Thanks Raj
1917,2025-10-08 15:31,it's time to huddle!
1917,2025-10-09 09:00,"Any significant updates today? If not, we can skip"
2014,2025-10-09 09:01,Can we add Collin to todays huddle i think he had some points
1917,2025-10-09 09:43,"Colin, Phillip and I had a clash today. Let's pick this up tomorrow."
2014,2025-10-09 14:48,"i've created a rough outline of a ticket for infra to help in the migration of the project to k8s, even after studying the projects Phillip sent me I'm not exactly sure which namespace is appropriate for these services and which cluster we should use <"
1917,2025-10-09 17:35,Would be great to get this merged: <
1917,2025-10-09 17:39,Would like to test on uat if possible first. let me know if we can do this tomorrow. I can ping Daniel to review the PR if needed.
1038,2025-10-09 17:46,Merged to dev
2014,2025-10-10 08:56,"{""correlation_id"":""_"",""document_id"":""Foundation Capital HSY"",""environment"":""amers-uat"",""level"":""INFO"",""logger"":""acx_portal_core.common.utils"",""msg"":""Successfully saved FC 6 - Extend partnership term - confirmation_71634.pdf to HedgeServ_Yaleuser/inbox/upload/source_documents/FC 6 - Extend partnership term - confirmation_71634.pdf in S3!"",""service"":""EFRONT_AUTOMATION"",""ts"":""2025-10-10 0826""} {""correlation_id"":""_"",""document_id"":""Accel KKR"",""environment"":""amers-uat"",""level"":""INFO"",""logger"":""acx_portal_core.common.utils"",""msg"":""Successfully saved Accel-KKR Buyout Fund LP Presentation 2025_145144.pdf to AonMasteruser/inbox/upload/source_documents/Accel-KKR Buyout Fund LP Presentation 2025_145144.pdf in S3!"",""service"":""EFRONT_AUTOMATION"",""ts"":""2025-10-10 0456""}"
2014,2025-10-10 08:58,i can see that there were some with an extention aded like you can see here .pdf after a document id appended _7134
1038,2025-10-13 09:09,Can we update the meeting invite with the huddle link please
2184,2025-10-14 09:15,"Hey apologies, my collegue deleted the docs in error and uploaded their replacement via firezella, so i don't have a screenshot of them"
2014,2025-10-14 09:16,Raj said that they weren't for me if im not mistaken?
2184,2025-10-14 09:17,"woops? i thought that's why you said we can discuss this in a private chat? Miscommunication i guess. Anyway, since I don't have a screenshot right now, guess we'll have to wait until this happens again, to raise the issue one more time"
1917,2025-10-14 09:29,"can we prioritise < today? It's blocking Miroslav. Also, is there a sprint planning meeting that you could forward to me and miroslav? We will try to schedule this work properly going forward"
2192,2025-10-14 09:36,I will start working on this
1917,2025-10-14 10:48,"set up a reminder “Time for our daily huddle! ” in this channel at 10AM every weekday, British Summer Time."
1038,2025-10-15 12:59,How are we doing with k8s deployment?
2192,2025-10-15 13:46,Its deployed
2192,2025-10-15 14:21,actually we didnt set correct image
2192,2025-10-15 14:21,still working on that
2014,2025-10-16 16:06,We migrated portal automation from Lambda to K8s in the develop branch and will be loosing Lumigo monitoring. . What enterprise monitoring do we have for K8s workloads?
1965,2025-10-16 16:13,we shouldn't be losing lumigo. There's a infra setting to activate it.
1965,2025-10-16 16:13,it's just that we need to format that message (json?) so that it renders nice in the lumigo. ?
1917,2025-10-17 08:58,Should we skip the daily today? Do we have any bugs or significant updates?
2014,2025-10-17 08:59,"Migration to k8s has beens completed with the help of , i believe stress testing is next as well as proper setup. Daily can be skipped."
1038,2025-10-17 09:01,Can the k8s deployment work its way through the full list of accounts without resource issues?
2014,2025-10-17 09:05,As soon as i check the recent job logs ill see why the jobs aren't processing documents yet.. there may be some integration issues (not resource constraints). currently we're working on setting up lumigo. Should have clarity on full account processing by the EOD.
2184,2025-10-17 09:51,"did Carta Portal become automatic? These documents say ""Source: Carta"""
1917,2025-10-17 09:52,"Hey Yassine, yes we now have an API connection to Carta, those accounts are automated"
1917,2025-10-17 09:53,"We only seem to have 3 accounts on Carta - Novo, HedgeServ_Yale and FactSet (Curi)"
2184,2025-10-17 10:00,That's good news. and yes only 3 accounts on carta as you described. Thanks Raj!
2014,2025-10-17 14:40,Still having issues with image setup and the configuration of containers in k8s
2014,2025-10-20 09:03,"Morning team, working on UAT deployment to k8s with Jovan, develop is working fine with core tests passing... Need Jovan to complete namespaces, configmaps, aws resources..."
1965,2025-10-20 09:07,hello. I can't join today. I'm fighting fedex for my laptop...
2014,2025-10-20 09:07,Oh whish you all the luck
2014,2025-10-20 09:08,I dont see a huddle started perhaps we skip today?
1965,2025-10-20 09:16,"I started it, but it got stopped. I guess we're skipping."
1965,2025-10-20 09:17,how much longer until we have UAT up and running (namespaces etc)?
2014,2025-10-20 09:19,I believe until the EOD if all goes well
2014,2025-10-20 12:38,Due to issues that Jovan is experiencing with amer aws this may be delayed
2192,2025-10-20 13:05,Probably we will not deploy it today
1917,2025-10-20 18:08,"Hi team, in case I forgot to mention last week - I will not be on the daily catch ups this week. We can skip them or go ahead if there is something to discuss. please let me tomorrow when we expect to be dev complete with the K8 migration"
2014,2025-10-21 07:06,"Develop k8s migration is complete, code tests are passing and local automation is working. We're ready for uat deployment pending infra setup. Develop env fully migrated from lambda to k8s. We can skip daily for today"
2014,2025-10-22 08:46,"Morning, I've been informed by Milica that some files are still having extension issues (If i understood that correctly), could you please forward those reports/tickets to me so that I could better understand the problem."
1965,2025-10-22 08:47,"morning Miroslav. < ""SamCERA file extension missing"""
2014,2025-10-22 08:48,Thank you very much I'll get on it asap
2184,2025-10-22 09:01,"Hey Yes, SamCERA reported this yesterday:"
2014,2025-10-22 13:03,Development slowed down due to account migration
2014,2025-10-23 08:28,I just got word that my team will not be getting access to the newly migrated AWS AMERS until new laptops are provisioned to us; Jonnathan just told Vlada Devic This is pretty critical to the progress and the expectations to finish the the fix for pdf extension for SAMCERA
2014,2025-10-23 08:29,I've asked around the office and there is no estimation when they will come from any of the colleagues (the laptops)
2014,2025-10-24 07:12,"After spending the day with Vlada it seems that untill the new lapop are issued I will be blocked out from AWS, still no info on how soon that will come, will keep everyone posted"
1965,2025-10-24 07:45,"good morning. ok, thanks for letting us know. I don't think there's a catchup this morning, but we can use the time to look at some logs if it helps you."
2184,2025-10-27 10:40,"Carta docs uploaded to HedgeServ yale automatically, but in Error status"
2014,2025-10-28 09:13,"will work on migrating my pc from linux to win today, if I am not available today just know i might be on that. So far i started the outline for the separation of the project into list and collect and the vision for the further architecture"
1917,2025-10-28 09:25,let's skip the daily today. We'll give you some time to transfer your device to Windows
2014,2025-10-28 09:54,Thank you for your patience
2014,2025-10-30 14:03,will work on UAT deployment for the k8s migration tomorrow morning with Jovan. Today I've worked on fixing the CI pipeline
2014,2025-10-31 12:36,"set up the UAT infra, ill be checking to see the health and any issues of the automation"
1917,2025-10-31 16:13,"if no errors, can we also promote to production?"
1917,2025-10-31 16:14,"given we are missing documents on prod, I think we have nothing to lose"
1965,2025-11-03 10:06,can you please add me into the database conversation?
2014,2025-11-04 09:14,Still no progress on the prod setup will be working with Jovan today in that direction
1917,2025-11-04 09:31,"ok thanks Miroslav, in that case we can skip the daily"
1965,2025-11-05 10:05,"Hello, are we in a position to promote + release the contents to develop to master, to uat?"
1917,2025-11-05 10:06,apologies could you provide a quick TLDR to Colin?
1917,2025-11-05 10:08,Ps everyone should have an invite for tomorrow to discuss the next phase - DB integration
2014,2025-11-05 10:09,"< Setup ArgoCD Applications and Infrastructure for Production K8s Portal Automation Deployment - Jira> Code and workflows ready on our end, waiting on infrastructure team to set up ArgoCD applications and ECR repositories. We have the requirements documented and shared."
2014,2025-11-05 10:09,"UAT: K8s deployment completed and currently being validated (pods running successfully in AMERS, verifying EMEA now)"
2014,2025-11-05 14:16,< enable direct code execution in Kubernetes environments by miroslav-kosanovic-accelex · Pull Request #47 · AccelexTechnology/acx-portal-automation-intg-agent>
2014,2025-11-06 09:06,Having issues with argocd not syncing to the newest changes will be working with Jovan today to bring down the sync window to 15 mins
1965,2025-11-07 10:02,"Hi, sorry we're running late on another call"
2014,2025-11-07 10:02,I can write down the status update
1917,2025-11-07 10:04,sorry we were delayed
2014,2025-11-07 10:04,"As far as uat issue goes im still waiting on infra to handle the secrets manager permisson, as per this ticket < 22 - Platform - Scrum Board - Jira> seems like infra has a lot on their hands"
2014,2025-11-07 10:04,"On the DB front Zak just postponed our initial meet to 3pm today, was wondering if there are any confluence files that can be sent to me"
1917,2025-11-07 10:05,yes I'm writing this up will send something across
2014,2025-11-07 10:05,Apart from that should there be another huddle for that issue?
2014,2025-11-07 10:05,The DB integration that is
2014,2025-11-07 17:01,Just a heads up I'll be OOO for the national holiday Monday and Tuesday
1917,2025-11-10 09:52,no catch up for the next couple of days due to Miroslav's absence
1965,2025-11-10 10:16,"Hi, we should no longer use the accelex jira."
2014,2025-11-12 08:51,I cannot seem to find the portal automation jira
1965,2025-11-12 08:51,do you have access to this?
2014,2025-11-12 08:53,yes thank you Colin
2014,2025-11-12 09:08,"I got updated on the eFront locking issue will be sure to check it out, we can skip todays catch up"
2014,2025-11-12 13:28,Yassine was there a new page added on efront portals recently?
2014,2025-11-12 13:29,any change like that?
1917,2025-11-12 14:31,"Miroslav you should have access to all the vaults through 1Password, so you can log in and verify this"
1917,2025-11-12 14:31,quick call so we can do this together?
2014,2025-11-12 14:44,Can do a call @4:20 as soon as i finish lunch
1917,2025-11-12 14:46,cool just give me a call
2014,2025-11-13 09:55,Update: still working on the accounts locking issue looking for the culprit
2014,2025-11-13 13:44,Identified root cause of eFront lockouts: timing issue with FIP_API_TOKEN cookie check unique to eFront portal. Deploying hotfix to production Lambda now. Expect account lockouts to stop.
1965,2025-11-13 14:26,how do you mean? the token is timing out because we use the same one each time?
2014,2025-11-13 14:49,No i believe the code looks for the token before it gets generated (doesnt give it time to be loaded)
1965,2025-11-13 16:38,"wow, that's a fundamental biggie."
1917,2025-11-13 17:38,FYI I've logged < to update the job to every 12h on both UAT and prod. cc
2184,2025-11-17 15:25,"Hey , We're still facing the issue of locked eFront portals."
1917,2025-11-17 15:53,Yes this is expected. any updates?
2014,2025-11-17 15:54,"I am still focused on the UAT issue, haven't really had the time to look at the eFront portals locking out over the week"
1917,2025-11-17 16:08,Is there anything we can do to speed this up? Any blockers? Have you spoken with Kamting?
2014,2025-11-18 10:16,< Production Hotfix: Fix eFront login failures caused by LLM markdown fences by miroslav-kosanovic-accelex · Pull Request #57 · AccelexTechnology/acx-portal-automation-intg-agent>
2014,2025-11-18 12:47,< Status> cloudfare issues on my end but i managed to merge the pr
2014,2025-11-18 12:48,this should aid in the efront account issue if not remove them entirely
2014,2025-11-19 09:56,Still working on the uat issue no progress on the GetSecretValue issue
2014,2025-11-19 09:59,No other update from me
2014,2025-11-19 10:04,< at develop · AccelexTechnology/acx-portal-automation-intg-agent>
1038,2025-11-19 10:07,"Sorry, I missed the huddle, I was on a call with Emil"
2014,2025-11-19 10:07,we pushed the fix for the account lockout at 1234 PM +0100 timezone
1038,2025-11-19 10:18,I have a potential fix for the secrets issue. Will merge and test shortly
