u,t,m
1074,2025-10-15 09:22,Thanks ! Though i think the official rule is to name _lp-portfolio-analytics-extract_
2286,2025-10-15 09:46,"I've got an issue to inaugurate the chat with! I extracted a document in dev last night and the security metrics are not getting committed. They are not in Arango or the quick report, but everything else from the document is there. Is anyone available to take a look at this? <"
2287,2025-10-15 11:23,Taking a look at this
1965,2025-10-16 10:47,"Hello, from the planning meeting here's the prod reference data integrity issue (moved from integration) < ""AMERS - UAT - CPPIB_Credit - Investor Incorrectly Updated as “Company” and created Commitment network"""
2218,2025-10-17 14:30,"Hello, I created a new tenant and uploaded some documents One CFN went to error after parsing and re-parsing Can someone check? Firuza checked from the parser side, and all is okay mk_Wayne cashflow JW100-reimport-2 - Copy - Copy.pdf staging: N*ikolina_Parent_Tenant*"
2281,2025-10-17 14:47,"Hello all, spotted minor UI issue on CAS NVS - dismissed section in Staging. The “Undismiss” button is partially hidden. Created ticket for it: < cc"
2218,2025-10-17 15:12,"Created bug: Securities upload returns a 500 error Checked on Staging, UAT, prod <"
2218,2025-10-17 19:04,"I created 4 bugs for the PR issues Please discuss which ones need to be fixed < < < < Also, one for the securities that I sent before, it is not blocking me to test the new feature on the Staging, but it will be good to upload new securities - <"
2287,2025-10-20 02:39,Thanks Issues to be resolved in order of priority: 1. V3-2815 2. V3-2814 3. V3-2816 4. V3-2817 5. V3-2818
2018,2025-10-21 08:22,I believe most individuals are on an off-site so will have limited coverage this morning so no need to attend the standup - feel free to ping this chat if you have anything specific
2281,2025-10-21 08:49,"Morning - spotted following issues on CAS validation screen: < - when a user edits any field (e.g. metric date) on the MVS, the entire screen currently refreshes after saving the change < - On the NVS, when selecting a synonym type from the dropdown (e.g. “Previous name”, etc.), the selected value appears in UPPERCASE inside the input field (e.g. “PREVIOUS_NAME”)"
2018,2025-10-21 08:54,Here is the revised list of priority: V3-2815 has been completed 1. V3-2814 2. V3-2816 3. V3-2817 4. V3-2818 5. V3-2813 6. V3-2819 7. V3-2820
2281,2025-10-21 09:35,Hey what about V3-2813? Are we going to fix it with 3.9 as well?
2018,2025-10-21 09:38,the bottom ones are low priority and largely UI issues so will try and absorb most of them
2218,2025-10-22 11:04,"Hello, I can't edit green and add value to the red metrics on the FFS on staging Can someone take a look, please? Correlation ID: 49031940-af36-11f0-b006-cbc919c7098d Timestamp: Wed Oct 22 2025 1313 GMT+0200 (Central European Summer Time) Username: <mailto:nikolina+parent@accelextech.com|nikolina+parent@accelextech.com> Tenant: Nikolina_Parent_Tenant User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Message: Http failure response for < 400 Bad Request"
2018,2025-10-22 11:05,Let me have a look
2018,2025-10-22 11:06,Could you please send me the link to the doc
2018,2025-10-22 11:10,I can edit fields with the dropdown but not the value is that what you are experiencing?
2018,2025-10-22 11:14,"Could you please create a bug on the V3 board, assign to"
2218,2025-10-22 11:15,"Yes, that's right"
2018,2025-10-22 11:21,I remember there was a similar issue that the reference data screen had when trying to bulk delete entities . Is this similar to that?
